,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ипотека,load_time
0,1040897416,СберБанк,"ул. Савушкина, 25, корп. 1, Астрахань",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-14:30, 'sun': выходной",46.368809,48.049374,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",73,74,76,71,63,100,,,2024-06-21 13:45:12
1,1144185469,СберБанк,"ул. Кирова, 41, Астрахань",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной",46.343781,48.037789,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,73,77,57,,58,53,61,2024-06-21 13:45:12
2,1026697746,СберБанк,"ул. Савушкина, 51, Астрахань",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-15:00, 'sun': выходной",46.358172,48.048346,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,79,81,71,43,,,,2024-06-21 13:45:12
3,1091762198,СберБанк,"ул. Анри Барбюса, 17, Астрахань",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:41-18:00, 'fri': 08:30-18:00, 'sat': выходной, 'sun': выходной",46.362449,48.046222,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,76,83,77,,,,,2024-06-21 13:45:12
4,191774055651,СберБанк,"Адмиралтейская ул., 15, Астрахань",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",46.350986,48.030239,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,96,96,93,,,,,2024-06-21 13:45:12
5,45970966080,СберБанк,"ул. Кирова, 30/49, Астрахань",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': выходной, 'sun': выходной",46.346617,48.036876,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,79,82,74,,,,,2024-06-21 13:45:12
6,1103349531,СберБанк,"ул. Богдана Хмельницкого, 24/45, Астрахань",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-15:00, 'sun': выходной",46.335277,48.018062,"4,5",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],81,84,87,58,65,85,,,2024-06-21 13:45:12
7,1010493795,СберБанк,"ул. Чалабяна, 19, Астрахань",www.sberbank.ru,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:00-15:30, 'sun': 08:30-13:00",46.346754,48.053664,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,77,80,64,58,,,,2024-06-21 13:45:12
8,1122915482,СберБанк,"ул. Яблочкова, 34, Астрахань",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-14:00, 'sun': выходной",46.365671,48.069695,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,93,93,80,,,,,2024-06-21 13:45:12
9,1069074075,СберБанк,"ул. Победы, 48, Астрахань",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-13:30, 'sun': выходной",46.353484,48.057716,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,79,87,77,,,,,2024-06-21 13:45:12
