,name,date,text,stars,answer
0,Макс Весна,2023-11-23 13:00:15,"Очень хорошее, и удобное обслуживание. Персонал грамотный, компетентный и приветливый. Есть возможность снятия и внесения наличных. Имеется парковка для автомобилей.",5,
1,Анастасия Хорева,2023-08-01 06:17:04,"Хотели узнать информацию по ипотеке, зашли в отделение банка взяли талон, тут же подбежала администратор со словами: «что вы делаете?». На наш ответ, что хотели получить консультацию по ипотеке, сказала все можно в приложение узнать, и не надо для этого брать талоны. В итоге так и ушли без консультации, т.к. с ее слов подробную информацию можно только через приложение узнать, а в банке можно только подать заявку.",1,
2,Светлана Дзубан,2023-06-12 02:11:38,"Сотрудники очень внимательные . Всегда приятно заходить в банк, чисто и комфортно Для меня это надежный банк, перешла из другого банка из-за машейников",5,
3,С. Моисеенко,2024-01-16 14:03:44,Отличный офис. Профессиональные сотрудники. Парковка груглогодично,5,
4,Dmitriy L.,2023-03-29 16:10:23,"Отделение Сбербанка в целом не плохое,правда банкоматы не всегда работают,могут заглотить карту и приходиться заказывать новую...помещение простороное,чистое ,работники всегда подскажут и помогут взять талон к специалисту!",4,
5,Елена Л,2023-09-02 13:27:45,"Прекрасные сотрудники. Все объяснили, помогли решить нашу проблему. Все быстро, в очереди ожидать не пришлось.",5,
6,Никита Тресков,2023-09-27 14:51:18,Хороший сбербанк всегда снимаю деньги именно там ну и ложу тоже там в принципе сбербанк как сбербанк. Советую всем удачи и здоровья!,5,
7,Дамир Муллаяров,2023-06-16 13:44:10,"Уютно, очереди практически нету, отзывчивые сотрудники, легко разобраться. - Навязывают услуги",4,
8,Айрат Ф.,2022-04-28 05:45:01,"Хорошее отделение,просторное,недавно появился минус-убрали в фойе банкоматы в которые можно было зайти круглосуточно и снять-положить наличные, и вообще к сберу лично,пугает исчезновение банкоматов по городу,иной раз накатаешся пока найдешь где снять наличку,не всё ещё работают по безналу.",5,
9,Дмитрий Федотов,2023-04-07 12:55:23,Персонал очень вежливый сам не однократно туда обращался отношения к клиентам отличное время ожидания не более пяти минут вообщем рекомендую,5,
10,Сергей Кононенко,2023-05-09 13:20:20,"Доступный банк ! И как пожелание для вас , а именно кому отзыв ! Пожалуйста рядом с вами есть рынок Русь ! Люди сейчас все ходят с картами а не с наличными ! Сделайте пожалуйста дело 
Поставьте банкомат в крытый рвнок Русь ! 
И торговле легче и вам оборот увеличит ! 
Спасибо",5,
11,Кира Т.,2023-03-03 06:22:17,Все хорошо. Отдельная благодарность : менеджеру Трополиновой Анне Андреевне. Очень помогла,5,
12,Инкогнито 7196,2024-01-15 12:52:14,Все хорошо. Персонал вежливый.,5,
13,дмитрий лукачев,2023-12-16 11:55:27,Сбербанк как Сбербанк. Один из трёх в нашем городе.,5,
14,эркинжан эргашев,2023-02-07 12:22:45,Взял в сбар баке кредит 300000т без просрочек почти выплатил и сбр банк не одобряет мне поновому кредит не могу понять почему наверно что я не воспользовался бонкротством,1,
15,Эдуард Шевцов,2022-07-30 17:05:36,"Пандус сделали, молодцы. Вы бы ещё сделали как к нему подъехать, кругом высокие бордюры. Ладно коляску с ребёнком помогут перетащить а инвалид колясочник? Да он даже до кнопки вызова персонала не доберётся, если она ещё вообще работает.",2,
16,Татьяна,2021-10-20 23:12:15,"Как и должно быть в банке!Уютно,удобно быстрое обслуживание,внимательные сотрудники: объясняют доходчиво,решают на месте возникшие вопросы Много банкоматов самообслуживания",5,
17,Александр,2023-08-16 15:52:39,"Отличное отделение, всегда быстрое обслуживание",5,
18,Тимур Каразбаев,2023-12-18 13:34:35,"Стоишь по 20-30 минут, ждешь очередь",2,
19,Евгений Дорохов,2022-09-16 13:38:32,"За последнее время напрягли, банкоматы, ошибаются, мои же деньги вернуть пока не желают от вложенных наличкой на карту. За каждую услугу дерут нет таких как этот банк.",1,
20,Ирина Е.,2023-10-01 14:17:42,"Грамотные, вежливые сотрудники.",4,
21,Евгений Дорохов,2023-04-25 13:27:07,От сбер банку почти отказался дерут за всё а процент и разговоров нет,4,
22,Елена Шевсенко,2022-07-17 17:11:31,"Не плохо, хорошо, приветливы, готовы прийти на помощь, подскажут, обращалась и на раз, проблема была решена",5,
23,илья худяков,2022-08-17 15:00:16,"Хороший персонал, выслушаю проблему, решат её и подскажут как можно лучше сделать",5,
24,Pasifist42,2023-02-28 13:24:09,"Всё стандартно,как и во всех отделениях сбера🤷‍♂️🤗",5,
25,738391 Хазов,2023-06-25 12:45:29,В здании проблемы со связью ждал код так и не пришел,4,
26,Андрей К.,2021-09-12 15:05:14,"Зашёл заказать карту мир. Встретили как родного😊😊😊 , проводили к менеджеру. 
Через 10мин я освободился.
Всё прошло без суеты.
Получал карту в том же духе. )))",5,
