,name,date,text,stars,answer
0,Алексей И.,2024-03-25 04:53:41,Вежливые сотрудники!приятно обслуживатся в этом отделении 😉один минус...помещение маленькое.,5,
1,Анна Пономарёва,2023-09-27 05:02:49,"Компания усложняет жизнь девушкам. Из за неисправности терминала собираются огромные очереди, но весь негатив льётся на сотрудников",5,
2,Евгения Горбаток,2023-01-12 14:27:28,Единственный минус тесное помещение. Обслуживание оперативное. Консультации доходчивые,5,
3,Олег Мазалевский,2020-07-27 00:51:14,"Квалифицированные специалисты, за исключением стажоров, ну как без них... А так в принципе всё очень достойно. Помещения для обслуживания хватало бы с лихвой, если бы клиенты пользовались чаще сбербанк onlain и операции которые можно осуществлял бы там!""ооооочень удобное приложение!!!"" вот тогда бы и не было бы такого скопления людей. Соответственно сократилось бы время ожидания.",5,
4,Симонян Г,2023-04-13 14:04:25,"Подъезда нет, поэтому 3,а если в целом стало мало народу, удобно, раньше битком.",3,
5,Вероника,2023-03-15 14:40:53,Быстрое обслуживание. Вежливый персонал.,5,
6,НатальяМишунина Мишунина,2021-11-15 14:29:11,"Небольшое отделение, всегда вежливо всё объяснят и помогут.",5,
7,Наташа Б.,2021-05-19 13:03:40,"Сейчас стало меньше народу, раньше вечно толпа стояла, девушки вежливые,все удобно.",4,
8,Виктория Ж.,2019-12-27 09:56:11,"Всегда помогут, подскажут, с такими девочками как в сбере и общаться приятно, вежливые! Молодцы!",5,
9,Валерий Береснев,2022-05-27 14:19:14,Небольшое отделение банка,3,
10,виктор зотов,2022-05-03 20:26:19,Грамотные специалисты,5,
11,Светлана Мастовых,2021-02-17 08:59:54,Хорошие сотрудники отличное обслуживание👍👍👍,5,
12,Александр.,2021-08-20 04:23:31,Отличное отношение к людям. Рекомендую.,5,
13,TANYHENKA,2019-12-17 12:16:35,"Само помещение очень маленькое для такого поселка, сотрудники не все компетентный в своём деле. Старшая обходительная дама! 🙃",3,
14,Галина Р.,2021-01-26 12:13:02,"Только площадь, очень тесно.Все остальное хорошо.",3,
15,АДИДАСНИК СНАЙПЕР1930,2018-12-01 08:24:26,"Быстрое обслуживание,профессиональный подход к каждому клиенту.Всегда положительные эмоции от общения с персоналом Сбербанка.",5,
16,Владимир Николаевич,2020-12-06 01:45:12,Банкоматы работают круглосуточно.,5,
17,Лина Максимчук,2021-04-21 17:59:47,"Банк хороший, вроде как.",5,
18,oshim4,2021-04-26 10:18:33,деньги есть всегда!,5,
19,марина быкова,2021-06-22 14:02:16,"Норм, работают",5,
20,C Валентина Андреевна Тюленева Тюленева,2021-02-21 14:35:18,Слишком тесное помещение,3,
21,Наталья Б.,2019-10-21 14:28:37,Г рамотные консультанты. Быстрое обслуживание.,5,
22,ANDREI A.,2020-02-04 10:21:31,"Быстрое обслуживание,хорошие условия.",5,
23,Ксения,2021-05-17 06:13:25,"Хорошее отделение, работники тоже !",5,
24,Наталия Соколова,2020-08-21 14:31:59,Очень хорошее обслуживание,5,
25,Ольга К.,2019-08-14 11:14:38,"Очень мало места для посетителей, большие очереди",1,
26,Алексей Мишин,2019-11-11 15:30:35,Пециалисты медленно работают маленькое помещение,3,
27,Оксана Шалютова,2019-08-30 02:50:55,"Грамотные, вежливые консультанты",5,
28,Интересный Автор,2019-07-29 11:38:00,"Как всегда в сбербанка, все на уровне.",5,
29,Инна Аржанухина,2020-02-11 09:08:02,Сотрудники молодцы 👏🏻👏🏻👏🏻👏🏻👏🏻,5,
30,Нестерчук Н.,2019-08-02 16:19:51,Грамотные консультанты.все расскажут.помогут.обьяснят.,5,
31,Зотов Виктор,2020-02-04 12:26:33,Все ок.персонал приветлив,5,
32,Наталья О.,2019-08-18 09:14:59,обслуживание с уважанием к клиентам,5,
33,Андрей Лединский,2020-06-13 08:24:41,Тесно!!! Жуть.,3,
34,Павел К.,2019-08-29 10:00:53,Грамотные специалисты,5,
35,Олеся А.,2019-11-24 13:25:51,Девочки умницы!,5,
36,Марина Я.,2019-10-07 05:52:36,Хорошее обслуживание,5,
