,name,date,text,stars,answer
0,Екатерина Бельтюкова,2023-11-19 07:11:15,"Чистое помещение, приятные и вежливые сотрудники, но всегда большие очереди, довольно часто проблема с банкоматами",4,
1,Ирина Гордеева,2023-08-28 16:12:44,"В настоящее время не очень удобный график для тех, кто работает всегда с утра. Раньше в субботу банк работал, сейчас выходные суббота и воскресенье, и в рабочие дни банк работает до 17-30 (не очень удобно). О персонале могу сказать только хорошее, внимательные, приветливые, работают быстро и профессионально.",5,
2,Натали,2023-06-14 16:13:20,"У нас в Любимове все близко, офис СБЕР один, удобный, чистый, слюотрудники вежливые, электронная очередь, много диванчиков, банкомат работают круглосуточно",5,
3,Анели,2023-10-04 08:00:32,"Рулём работы очень ""узкий"". Вечером с работы успеть сложно, в субботу только до обеда.
Сегодня с ипотекой отказались помочь - в город отправили. У ник там каких-то технических возможностей нет. А мне всего то нужно было понять, как документы по страховке в банк передать. 
Для кого работают - непонятно.",2,
4,Мария,2023-07-02 18:01:48,"Персонал и обслуживание на высоте, очень редко есть очередь, это очень радует. Удобное расположение и достаточное количество банкоматов.",5,
5,Александр Перепелкин,2024-04-21 11:10:40,"Очень грамотные специалисты. Подскажут, помогут. ""Допы"" не навязывают.",5,
6,Людмила Шакурова,2023-02-16 14:07:25,"В Усолье единственный Сбербанк , работает по каким-то не изведанным причинам на час меньше, чем все отделения Сбера в Березниках !!!! до 18.00 ! почему ????? Как людям после работы вообще попасть в этот банк. Кроме того, в Усолье (старом) Сбер закрыли.
На отделении банка НИГДЕ НЕТ ГРАФИКА РАБОТЫ !!! Это вообще как?!
Руководство какое-то вообще есть. Они вообще смотрят на свои точки ""обслуживания""???",1,
7,Анна Демена,2023-10-24 17:02:47,"Очень хорошие все девушки,доброжелательны всегда,никогда небыли замечены в плохом отношении к пасетителям",5,
8,Сергей Мирошин,2023-09-26 19:46:59,"Обслуживание конечно на высшем уровне, но для Сбербанка очень тухло можно было бы поставить по больше терминалов хотя бы в Любимове",3,
9,Валентина г,2023-03-04 15:35:10,"Единственный филиал на правом берегу. Но тем не менее, сотрудники очень доброжелательные, по пустякам людей не задерживают, время приема не затягивают.",5,
10,Евгения Чиркова,2023-10-02 12:11:49,"Маленький такой сбербанк, уютный.персонал доброжелательный.",5,
11,Денис Балдин,2024-01-09 12:46:41,24 банкомат. Удобно.,5,
12,Ибрагимов Виктор,2023-01-07 04:43:51,"Хороший офис Сбербанка, всегда чисто и вежливый персонал.",5,
13,Данил Журавлёв,2024-04-15 14:11:48,Очереди большие,4,
14,Светлана Балушкина,2023-05-01 17:03:26,"Понравилось обслуживание, хороший персонал!",5,
15,Сергей Максимов,2022-05-30 01:30:28,"Отличный,приветливый персонал,куда же без Сбера,это отделение и так одно на большой район,спасибо им.",5,
16,виктор,2021-10-13 09:27:20,"Бывал и посещал , приветливый персонал. Всегда в рабочем состоянии банкоматы. Хороший банк , рекомендую всем.",5,
17,Ленка,2021-06-29 01:18:12,Очень нравится этот сбербанк. Всегда быстро и грамотно обслуживают. Несколько банкоматов. Очередей нет.,5,
18,Максим Гусев,2022-05-10 05:53:26,"Сотрудники, молодцы, отзывчивые. Если нужна помощь ни когда не отказывают. Спасибо.",5,
19,Ольга Месяц,2021-11-08 08:58:24,"В шаговой доступности, быстрое обслуживание, удобно.",5,
20,Midima1604,2023-04-29 13:29:04,Быстро и просто,4,
21,Илья Кириллов,2021-01-17 16:19:39,"Удобное место расположение, быстрое обслуживание, отзывчивый персонал",5,
22,ольга гурдина,2021-09-28 13:58:43,Не нравится.Сразу предлагают взять кредит.Без церемоные напористые.Вообщем не пойду больше,2,
23,Олег К,2023-05-30 04:57:15,Моловато,4,
24,Аксинья,2022-01-22 14:05:57,"Хороший, а главное единственный.",5,
25,Диана Олькова,2021-02-24 15:12:44,Грамотных сотрудников единицы,1,
