,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Кредит,График работы,Ремонт,load_time
0,1170867268,СберБанк,"ул. Павла Шаманова, 26, Екатеринбург",www.sberbank.ru,"'mon': 09:30-20:00, 'tue': 09:30-20:00, 'wed': 09:30-20:00, 'thu': 09:30-20:00, 'fri': 09:30-20:00, 'sat': 10:00-16:00, 'sun': выходной",56.788176,60.517896,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",81,78,84,73,56,94,79,67,,,2024-06-21 19:29:36
1,1211357181,СберБанк,"ул. Вильгельма де Геннина, 31, Екатеринбург",www.sberbank.ru,"'mon': 09:30-20:00, 'tue': 09:30-20:00, 'wed': 09:30-20:00, 'thu': 09:30-20:00, 'fri': 09:30-20:00, 'sat': 10:00-17:00, 'sun': выходной",56.792581,60.521545,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",71,70,75,51,26,92,,,,,2024-06-21 19:29:36
2,1143999995,СберБанк,"ул. Репина, 94, Екатеринбург",www.sberbank.ru,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-18:00, 'sun': 10:30-17:30",56.818115,60.538765,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,76,77,63,58,88,,,,,2024-06-21 19:29:36
3,1205734675,СберБанк,"ул. Титова, 22, Екатеринбург",www.sberbank.ru,"'mon': 09:00-20:30, 'tue': 09:00-20:30, 'wed': 09:00-20:30, 'thu': 09:00-20:30, 'fri': 09:00-20:30, 'sat': 09:00-17:00, 'sun': 10:00-15:30",56.780294,60.609613,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,81,84,58,58,90,,,68,,2024-06-21 19:29:36
4,1246147257,СберБанк,"ул. Малышева, 31В, Екатеринбург",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:00, 'sun': выходной",56.834284,60.598853,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,70,82,74,71,92,,,,83,2024-06-21 19:29:36
5,1160681837,СберБанк,"ул. Крауля, 63, Екатеринбург",www.sberbank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-17:00, 'sun': выходной",56.830540,60.548056,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",63,61,65,40,39,,,,36,,2024-06-21 19:29:36
6,1173786238,СберБанк,"ул. Куйбышева, 67, Екатеринбург",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:30, 'sun': выходной",56.828384,60.612703,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",78,74,80,71,68,88,60,58,43,,2024-06-21 19:29:36
7,1187906464,СберБанк,"Белореченская ул., 16, Екатеринбург",www.sberbank.ru,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:30-16:30, 'sun': выходной",56.820460,60.567320,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://vk.com/sber', 'https://ok.ru/sber', 'https://t.me/sberbank']",79,80,82,56,59,100,,,75,,2024-06-21 19:29:36
8,1219133894,СберБанк,"ул. Академика Бардина, 7, корп. 1, Екатеринбург",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной",56.807997,60.551264,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,79,78,61,83,96,,,71,,2024-06-21 19:29:36
9,1003278161,СберБанк,"ул. Щорса, 29, Екатеринбург",www.sberbank.ru,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 10:00-17:30, 'sun': выходной",56.809293,60.621391,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,78,82,64,56,92,86,84,82,,2024-06-21 19:29:36
