,name,date,text,stars,answer
0,Андрей Черняков,2024-02-26 11:10:11,"Пользуюсь услугами отделения периодически, сервис хороший, менеджеры вежливые, всё разъясняют доходчиво, чистенько.",5,
1,Андрей,2024-03-15 05:18:31,"Чистенько, спокойно, комфортно в отделении. Работники вежливые, всё понятно расказывают.",5,
2,Марина Донцова,2024-01-07 12:56:43,"Доброжелательный персонал, все подробно расскажут и порекомендуют",5,
3,Анастасия Киреева,2023-06-02 12:46:08,"Хорошее обслуживание, всё быстро и без очередей. Сотрудники доброжелательны и не навязывают ничего лишнего. Чисто и уютно. Вообщем хорошее отделение.",5,
4,Наталья З,2023-03-31 13:59:01,"Пользоваться услугами банка всегда приятно. Ожидать долго не приходится, обслуживание чёткое, быстрое, Персонал внимательный, знающий свое дело, аккуратный. Спасибо!",5,
5,Олеся Медных,2022-11-24 12:09:45,"Внимательный персонал, время ожидания приемлемое, очередь объявляется громко и доступно, обслуживание отличное. Есть несколько банкоматов, где можно снять, а также, оплатить и сделать перевод денежных средств.",5,
6,Елена Макаренкова,2022-12-13 16:56:39,"Обслуживание хорошее, персонал профессионально поможет и подскажет. Так же оперативно можно открыть счёт. Недавно потеряла карту, зашла в банк и в течении 10 мин проблему решили. Всем рекомендую это отделение Сбербанка.",5,
7,Борис Маликов,2022-12-06 22:02:13,"Самое лучшее отделение в Брянске на мой взгляд. Как с точки зрения логистики помещения, так и со стороны персонала. Заведующая ходит по залу и помогает тем, к кому ещё не успела девочка, которая на электронной очереди. Все улыбаются, открыты к общению и реально стараются помочь.",5,
8,АннА Шатилина,2022-07-03 20:02:43,"Хамское отношение именно в этом отделении.
При обращении за платной (!) услугой - проверка подлинности банкнот в грубой форме отказали. Фактически соврали и навязывали побочные услуги и действия. Аргументировав свой отказ тем, что услуга может быть предоставлена только в случае открытия счета.
Когда сослались на открытую информацию о предоставлении этой услуги без попутных действий (открытия счета и прочего), указанную на официальном сайте банка и уточненную по их номеру 8-800.., грубо отреагировали и фактически отправили на все 4 стороны. 
Либо некомпетентные сторудники, которые даже не знают перечня услуг, предоставляемых банком. Либо специальное навязывание посторонних услуг, не требуемых при проверке купюр на подлинность. Что из этого хуже? Подалуй, оба варианта.",1,
9,Олеся А.,2023-02-11 12:43:34,"Мне нравится скорость обслуживания и компетентность сотрудников. Все быстро, качественно и с улыбкой. Спасибо, девочки!",5,
10,Александр Аверин,2023-07-14 11:44:40,"Обслуживание как и везде по талонам, достаточно быстро, в выходные как и все Сберы не работает, но! при входе есть зона с банкоматами, очереди нет никогда",5,
11,Татьяна Ж.,2024-01-29 09:41:03,Работа с клиентами быстрая и качественная. Все понятно.,5,
12,Татьяна Бородина,2023-04-09 03:06:08,"Хороший просторный зал, хороший персонал, удобные диванчики, на которых можно спокойно дождаться вызова!",5,
13,Ирина Фролова,2023-03-04 18:00:26,"В этом отделении самые вежливые операторы и самые лучшие профессионалы, спасибо Вам за внимательность и решение всех наших вопросов!!!!",5,
14,Irina Br,2022-11-01 15:10:24,"Дружелюбный персонал, всегда помогут в любой ситуации, просторное помещение, много банкоматов, близко от остановки",5,
15,Anna Vladykina,2021-07-21 10:42:18,"Одно из лучших отделений сбербанка. Всегда работает. Специалисты все грамотные, профессионалы своего дела. Помещение свободное, просторное, чистое очереди никогда нет. Для снятия наличных и пополнения карт, а так же для оплаты жкх услуг в отдельном помещении стоят терминалы, к которым тоже не надо стоять в очереди, или под дождём.",5,
16,Александр Рогожев,2021-12-28 21:09:22,"Первый раз столкнулся с брезгливым отношением к клиенту ,в окне №5 не опытный сотрудник заподозрил меня в поддельной нотариальной доверенностью,долго не понимала что делать,пригласила службу безопасности,пришла брюнетка и заявила что генеральная доверенность выданная нотариусом не является действующей ,натариус из за своей занятости забыла внести в реестр ,тем самым меня послав (про себя) отправила к нотариусу который выдал якобы не зарегистрированную генеральную доверенность!После разбирательств у нотариуса ( я же поверил оператору и перешедший представительнице банка что доверена у меня липа) и получении подтверждения оригинальности и действия доверенности пришёл повторно в банк (на Киевской) и опять попал в окно №5 к той же девушке,увидев меня она сразу меня отфутболила в другое окно по работе с гражданами (№2) и спасибо большое той сотруднице которая сделала свою работу как профессионал ,не смотря на то что постоянно её коллега ,женщина с окна №1 в очках,старалась найти у меня какой либо подвох или ошибку в генеральной доверенности! Спасибо что в Сбербанке есть настоящие профи своего дело ,в окне №2!итог: в окне №2-доверенность подлинная и зарегистрирована нотариусом ,женьщина из окна №1 обвинила нотариуса что ввела только что данные на генеральную доверенность ! Желаю всем попадать там к профи из окна №2 и никогда не сталкиваться с окном №1 и №5!и самое главное,на вопрос,где я могу оставить отзыв о непрофессионализме сотрудников банка,женьщина в очка с короткой стрижкой ,из окна №1, просто проигнорировала,поэтому пишу тут!!!случай был 28.12.2021 в районе 16-30!!!Поэтому спасибо большое Сбербанку за хреновое предновогоднее настроение!!!",1,
17,Самошкина Н.,2023-08-08 18:08:52,"Очень отзывчивый персонал. Стараются помочь и советом и делом
.",4,
18,Брянск,2023-02-12 18:35:39,"Очень хороший сбербанк. Хорошие отношения всегда помогут, подскажут и покажут. Если нужно будет и объяснят?",5,
19,Тамара,2023-03-10 17:50:41,"Не первый раз пользуюсь услугами банка. Оперативно, профессионально, уважительное отношение.В целом достаточно удобный сервис, на хорошем уровне. Спасибо!",5,
20,Ирина,2022-01-07 11:40:07,Обслуживание на высшем уровне. Вежливость и терпение персонала всегда неотьемлимая часть. Время ожидания минимально....но иногда зависит от количества посетителей. Персонал здесь не виноват. Очень удобно расположен.,5,
21,Максим Кузьмин,2024-03-09 18:32:19,"Отсутствие парковочных мест , за это 1",1,
22,Александр Лебедев,2022-07-07 19:02:02,"Сбербанк-этим всё сказано! Очередь как везде, девочки-консультанты всегда помогут, объяснят! Чисто! Работают как отлаженный механизм Щвецарских часов!Кредит только не берите;)))",5,
23,Тереза,2023-09-27 17:45:49,Вежливый персонал! Быстрое обслуживание!,5,
24,Александр Маслов,2022-12-01 06:41:03,"Удобное расположение, сотрудники внимательные, вежливо обслуживание. Спасибо!",4,
25,Е Е,2024-01-08 16:14:46,Сотрудники банка в обмен на пластиковую карту предлагают нарушить закон РФ. (разглашение личных данных друзей или родственников),1,
26,Mihail Surikov,2023-02-22 20:35:40,"Огонь , парень адекватный, без навязываний. Быстро все помог сделать",5,
27,Екатерина,2023-08-30 17:20:36,Большие очереди. А так доброжелательный персонал,5,
28,Shahzoda Hudazarova,2024-03-01 18:56:13,Персонал вежливый,5,
29,Ирина Власова,2023-07-30 20:05:00,Персонал Супер... Всегда рады помочь,5,
30,Инкогнито 3576,2023-10-03 17:53:59,"Оформили карту без моего согласия, хотя я была против",1,
31,Bo Anderson,2023-01-16 16:45:39,Быстрое качественное обслуживание! Тепло! Уютно!,5,
32,виктория григорьева,2022-01-19 12:58:20,"Вежливый персонал и практически никогда не ждёшь,работают быстро! Единственное,что бесит- это подключение платных уведомлений,которые уже не актуальны!Потом приходиться их самой отключать!",5,
33,Ю,2023-01-25 17:09:14,Сестре оформили карту ..Сказали чтобы распечатать реквизиты нужно оформить кредитную карту.ужас,1,
34,Андрей Кузьмин,2023-06-02 13:52:04,Очень хорошие работники быстро сделали справки,5,
35,Дмитрий Шмидт,2022-04-26 17:12:56,"Мало специалистов, если по частым проблемам могут помочь, то в редких случаях можно просидеть в очереди 15-20 мин пока они решат между собой к кому",3,
36,Василий Пигарев,2021-11-29 22:14:25,"Обслуживание клиентов на высшем уровне. Подскажут, помогут, все операции быстро, что еще можно добавить. Молодцы, не теряйте свой имидж.",5,
37,Андрей петров,2021-11-17 15:45:17,"Обслуживался 13 ноября у сотрудницы Екатерины Помогла отравить посылку. Отравлял по Сбер. в первый раз. Молодец! Все показала спокойно, вежливо.Большое ей спасибо!",1,
38,Алексей К.,2023-08-22 19:28:50,Быстрое хорошее обслуживание,5,
39,Виктор Березинец,2023-02-22 16:09:51,"Простое и отличное обслуживание, спасибо.",5,
40,Андрей,2023-02-12 16:36:00,Хорошее обслуживание и вежливость персонала,5,
41,елена тихомирова,2023-02-12 17:11:46,Все на5 звезд и обслуживание и время ожидания и т.д.,5,
42,владик середа,2022-11-29 18:07:21,Банк как банк. Хорошо что много банкоматов. И сотрудник 👮 который если что забыл подскажет. Обслуживание хорошее,5,
43,Василий Митрохин,2024-04-11 06:01:24,"Место хорошее , но увы закрыли на ремонт.",4,
44,Сергей,2021-09-02 17:14:36,"Удобное месторасположение банка, есть несколько банкоматов на прием и выдачу наличных, из минусов маленькая парковка",4,
45,Дарья Пасецкая,2022-06-15 21:13:12,Удобное расположение и качественное обслуживание,5,
46,Вера,2021-05-20 11:56:33,"Хороший офисный банк, где много окон,специалисты работают быстро,есть при входе банкоматы,иногда дают сбой,но это техника.",5,
47,Кира Горбатенко,2024-02-11 17:52:59,Хорошо😇,5,
48,Дмитрий,2022-05-04 17:46:42,"Получал карту Мир, проконсультировали по картам ,получил раньше назначенного времени",4,
49,Юрий Истратов,2021-08-06 09:52:51,"Удобно расоложенное симпатичное здание, но парковка маловата. Очередей почти нет.",5,
50,Оксана Иванина,2024-02-23 10:55:32,Быстро,5,
51,Татьяна лымарева,2021-08-29 04:05:37,"Маленький ассортимент молочной продукции,продукция молочная не очень свежая, иДОРОГАЯ!",3,
52,Владимир Гей,2023-08-28 19:25:09,Вежливый персонал,5,
53,olyakyt,2021-08-29 17:53:46,"Много банкоматов, можно без очереди сеять или внести наличку. Также можно обратиться к специалисту по другим вопросам.",5,
54,Ульяна Скалкина,2022-01-15 16:30:11,"Обслуживание клиентов на 5, чисто, удобно, быстро.",5,
55,Сергей М.,2022-08-21 17:07:55,Отличное отделение! Решают все вопросы,5,
56,Артур Пирожков,2021-11-27 17:49:25,"Зашёл по быстрому... Народу тьма, терминала и табло не увидел. Развернулся и ушёл.",3,
57,маринакондрашова кондрашова,2020-05-24 17:56:51,Банк хороший коллектив отзывчивый добрые помогают людям посоветуют банк хороший к людям относятся хорошо с пониманием с сочувствием,5,
58,Андрей Ш.,2023-04-02 17:45:38,Банкоматы огонь,5,
59,ИБ,2022-12-20 18:43:49,Лутший Сбербанк в Брянске,5,
60,Елена,2021-06-08 10:48:49,"Очень вежливые сотрудники. Всегда помогут в любом вопросе. 
Нет очереди.",5,
61,Не Маруся,2023-01-31 21:30:13,Отличное обслуживание.,5,
62,Мистер п,2022-07-11 13:45:26,Круто удобно и хорошо,5,
63,Александр Полесюк,2021-09-03 14:56:23,Очень корректное и вежливое общение. Прошу выдать дополнительную премию.,5,
64,Ольга М.,2021-07-08 10:18:36,Быстрое и качественное обслуживание. Спасибо!,5,
65,andrey sokolov,2021-10-24 11:09:18,Обслуживают в этом отделении.Быстрое обслуживание.Доволен.,5,
66,Дмитрий Томковский,2021-08-18 17:52:01,"Быстрое обслуживание, приятная атмосфера",5,
67,Сергей Рыбников,2019-10-27 08:56:34,"Хорошее отделение сбера. Много окошек, есть консультанты, несколько банкоматов. Все на достойном уровне.",5,
68,LEOTERRIXXX,2023-07-24 17:45:12,норм,5,
69,Ольга Х.,2019-10-01 11:09:22,"Сбербанк находится рядом с домом, грамотные консультанты, готовы всегда прийти на помощь, быстрое обслуживание.",5,
70,Наталия Лемешева,2021-10-04 12:16:02,"Отличное место, ночевала как-то раз там",5,
71,Светлана,2021-04-30 08:04:48,"Хорошее отделение, хорошие работники, всегда помогут",5,
72,дмитрий гришин,2022-07-27 11:04:50,Приятные сотрудники.,5,
73,Евгений,2021-07-20 05:45:08,Всё норм как и везде отделение банка ничего нового и удивительного,4,
74,Алиса в стране чудес,2021-06-10 14:25:57,просторное здание хорошое обслуживание на 5+++,5,
75,Геннадий Пожарский,2020-04-21 18:34:29,"Это место мне нравится, особенно персонал и функциональные возможности этого отделения...",5,
76,Марина Ф,2020-05-08 14:11:58,"Нравится то,что есть несколько банкоматов,возле которых не толпится очередь.Консультанты предложат помощь,если что-то не понятно.",5,
77,Владимир Волвенков,2022-03-19 13:46:06,Верните нормальное ПО на банкоматы,3,
78,Евгений Андреев,2022-04-26 13:36:19,Все на лучшем уровне!,5,
79,Александр Криштапов,2021-08-03 10:58:53,Банкоматы всегда работают и есть наличка,5,
80,Виталий Волков,2022-04-18 17:43:14,Отзывчивый персонал,5,
81,Игорь Кузнецов,2022-05-15 07:24:57,Отличное отделение,5,
82,сергей тарасов,2020-11-16 21:17:56,"Очень хорошее отделение, вежливое обслуживание",5,
