,name,date,text,stars,answer
0,Галина Бородина,2023-10-24 17:14:47,"Обслуживание хорошее, сотрудники банка вежливые, компетентные в своей сфере. Каждый раз остаётся только приятное впечатление!!! Спасибо!!!",5,
1,Марина,2023-12-23 22:16:34,"Не понимаю смысл предварительной записи... запишись заранее, и все равно ожидай минимум минут 10...( как в поликлинике)))",4,
2,Владимир Г.,2024-04-07 18:01:42,"Показывают одни проценты, когда оформляют проценты меньше. И стараются втюхать кредитную карту. Не советую.",3,
3,Наталия С.,2021-10-17 17:21:02,"Удачная планировка и расположение филиала банка. Это - единственный филиал Сбербанка на Журавликах. В этом филиале работает квалифицированный и очень отзывчивый персонал. Много лет обращаюсь именно сюда - работники здесь всегда рады клиенту. Есть круглосуточный доступ к терминалам. Практически не бывает очередей. Всегда чисто и обратно в самом здании. Летом, в жару, работают кондиционеры.",5,
4,Владимир Круговых,2023-10-13 05:51:55,"Современный удобный офис, даже если не получилось заключить сделку, комфортно провел время....",5,
5,Kot Kot,2024-04-15 17:42:16,"Хороший персонал, добрый, всегда поможет если что то надо",5,
6,Галина Бородина,2022-08-02 10:28:42,"Сотрудники вежливые, очередей нет. Расположение удобное и доступное. Очень нравится работа банкоматов в вечернее время, под крышей, защита от холода зимой и от жары летом.",5,
7,Людмила М.,2024-01-21 05:54:11,"Работают отлично,девочки професионалы",5,
8,елена шевченко,2023-03-22 17:16:56,"Нареканий нет. Девчонки вежливые, компитентные. Обслуживание хорошее, быстрое",5,
9,Анна Д.,2022-01-22 17:08:20,"Удобное месторасположение. Просторно. Есть все нужные сервисы- банкоматы, постаменты. Все нравится. Приятные операционисты. Все пояснят. Хамства нет. Многим бы у них поучиться.",5,
10,Катерина Я.,2023-08-09 08:01:07,Удобное расположение. Всегда все чисто.,5,
11,Стефания Каськова,2023-10-14 10:53:13,"удобно расположен, все устраивает👍🏻",5,
12,Наталья Титовская,2023-04-21 12:40:27,"Удобно расположен, чисто, практически нет очередей",5,
13,Сена,2024-02-06 09:57:24,Мало места для парковки,3,
14,Елена Костюченко,2021-09-05 10:40:38,"Ну что сказать,дорогие друзья,в указанном офисе Сбербанка я бываю часто,рчень вежливое отношение со стороны персонала,чувствуется грамотная проффессиональная подготовка,и,вообще,приятная атмосфера.Им пожелание только одно-ТАК ДЕРЖАТЬ!!!",5,
15,Андрей,2023-02-12 19:36:30,Отделение в шаговой доступности. Очень удобно.,5,
16,Ale Vikava,2021-08-24 08:30:53,Хороший сбербанк работает без задержек все быстро и удобно персонал радует единственное далековато ходить о том но это не важно,5,
17,Михаил,2022-07-25 12:06:00,"Очень удобно расположен, из минусов только маленькая стоянка.",5,
18,Виктория Сёмина,2022-10-18 13:05:24,"Обслуживают быстро и качественно, персонал вежливый",5,
19,Александр столов Столов,2022-08-30 12:12:49,"Все устраивает, сотрудники вежливо и быстро решают все вопросы!",5,
