,name,date,text,stars,answer
0,Ирина Щепетинникова,2023-12-07 10:22:19,"Чисто,тепло,банкоматы практически всегда все работают,очереди бывают редко,в часы пик,удобнее чем в центре города по разным параметрам.",5,
1,Ирина Маркс,2022-11-04 13:50:11,"Если бы можно было поставить минус, я бы поставила. Сотрудникам этого отделения так точно. 
Развели бабушку на новую карту МИР, хотя у нее она была и это в системе прекрасно видно. Произошло это за день до получения пенсии. Соотвественно пенсию бабушка не получила. Т.к. электронный документооборот, как оказалось, не такой быстрый. 
Где деньги - неизвестно. Кто будет отвечать - неизвестно.
Бабуля в деревне без денег, но:
План по картам МИР выполнен, с чем сотрудников и поздравляю.",1,
2,Анастасия Кузьмина,2023-06-06 17:45:20,"Чистый офис, доброжелательный коллектив. Всё выслушают, помогут с решением интересующих вопросов.",5,
3,Ирина Мишина,2023-09-05 21:05:28,Хорошее отделение. Вежливые сотрудники. Большие очереди бывают редко.,5,
4,Елена Козлова,2023-01-08 23:42:41,"Обычное отделение ""Сбербанк"", как и многие другие. Снимаю звезду, тк пришла с важной проблемой, но не увидела особого желания у оператора помочь, более того оператор не скрывал насмешки.",4,
5,Екатерина Фролова,2023-02-18 12:39:15,"Обслуживание на самом низком уровне, сидит человек по 45 минут, хотя все свободны, между собой беседуют или по телефонам, пока не сделаешь замечание тебя не заметят даже по талону",1,
6,Александр А.,2023-03-23 16:54:24,"Отличное обслуживание, вежливый приветливый персонал!",5,
7,Нина Слащенко,2022-12-10 01:53:21,"Была там впервые. В позднее время, тк надо было воспользоваться услугами терминала. Чистота и рабочие все терминалы- это красота.",5,
8,олеся кузнецова,2022-12-01 05:32:22,"Хорошие девушки работают, всегда помогут, объяснят, и разрешат любую проблему 👍",5,
9,Дарья Николаевна,2021-10-29 13:56:21,"Вежливый персонал. Все четко, быстро. 
Стараюсь ходить не в час пик, поэтому не стою в очереди. Удобное расположение рядом с домом.",5,
10,Тата Ханина,2022-03-25 07:32:46,"Пришла забрать карту. Обычно занимало 5 минут. Сегодня столпили народ на входе. Талоны не дают пробить, чтобы руководство не узнали, что не справляются с работой! Создают видимость хорошей работы.",1,
11,Руслан Ким,2022-09-19 17:29:23,"Уважительная манера речи, стараются для клиентов сделать всё быстро и качественно.",5,
12,Юля Глущенко,2023-01-14 16:37:42,"Очень вежливый персонал, отличное отношение к клиентам,быстрое обслуживание.Так держать!",5,
13,"МБУ МПЦ ""Октябрьский"", г. Ефремов",2023-12-31 17:38:01,Очень хорошо,5,
14,Pit D.,2022-01-31 17:46:47,"Отвратительно обслуживает кредитный отдел. Требует куча бумажных волокитов, в Туле проще достаточно электронных документов.... Не рекомендую посещать это заведение...",1,
15,Аикин Кирилл,2023-03-04 13:44:18,Про хорошие работники. Помогают разбираться в делах и ТД.,5,
16,Олег Буравцов,2022-01-05 06:19:38,"Вежливый персонал, быстрое обслуживание много касс, парковка удобная",5,
17,831315 Кшбоков,2021-09-06 00:56:32,"Все очень хорошо, водитель автомобиля знает город хорошо вежливый, обшителный побольше бы таких людей.",5,
18,Сергей Борискин,2024-04-07 11:01:40,Хорошо,5,
19,Честый критик,2021-09-17 14:05:17,"Хоть мало людей в нем обычно. Все равно ждёшь минут по 15. Видети ли они чай пьют. Грязно. Не отзывчивый персонал, не могут помочь решить проблемы.",3,
20,Игорь Красовский,2022-05-02 07:35:55,"Помещение терминалов грязное, сами терминалы заляпаные, часто не работает половина из них!",3,
21,Дмитрий Вениаминовичь,2022-05-11 14:57:12,"У автоматов постоянно грязь, уборщица получает по ставке копейки от этой жадности руководства и все беды. Девушки работают чистенькие опрятные просто невесты.",3,
22,Ксенечка Войлокова,2021-05-21 11:04:57,"Отличное обслуживание, девушки очень приятные, готовы помочь в любом вопросе!",5,
23,Анна Д.,2019-09-18 05:50:29,"Очень удобный банк. Много банкоматов в городах России, что не маловажно. Если есть зарплатная карта, взять кредит можно за 15 минут, не выходя из дома. Удобное приложение сбербанк онлайн. Оплачиваю все счета через приложение.",5,
24,Александр Башарин,2023-09-21 13:44:25,Всё удобно.,5,
25,мустаыо яяАсомудинзода,2022-07-21 16:23:31,Там постоянно на банкомате деньги нету что мне сказать-то,1,
