,name,date,text,stars,answer
0,Дмитрий Горбатовский,2023-11-22 16:32:30,"Отличный банк с широким спектром услуг. Удобные онлайн-сервисы, быстрое обслуживание, вежливые сотрудники. Рекомендую Сбербанк всем, кто ценит надежность и удобство в работе с банком.",5,
1,Светлана,2024-02-13 15:32:17,Достаточно давно пользуюсь услугами этого филиала СБ. Все профессионалы с большим опытом. Консультации по любым вопросам. Любой продукт Сбербанка по самым выгодным условиям.,5,
2,Александр,2023-11-14 11:47:46,"Удобно расположен - недалеко от дома. По всем вопросам туда обращаюсь. Народу не так много, как в центральном. Я доволен...",5,
3,Акмал Абдухаликов,2023-11-04 12:02:51,"Парковка рядом. Народу нет. Провел все операции за 10 минут.
Хороший и вежливый персонал..
Красота!!",5,
4,Инкогнито 1086,2024-04-09 07:36:00,"Внимательные, отзывчивые сотрудники. Готовы помочь по любому вопросу. У меня осталось осень хорошее впечатление от посещения этого отделения",5,
5,Савелий Пасечник,2023-06-03 09:10:35,"Хорошее уютное место, отношение к людям 10/10. Брал книжки из сберлогистики. Хочется отметить сотрудника Марию. Позитивный настрой, улыбка, грамотная, внятная речь все эти качества про данного сотрудника. Причём эти качества проявились в очень пасмурный, дождливый денёк. За такое грамотное обслуживание хочется приходить туда снова и снова)",5,
6,Елена Ковалева,2024-03-29 16:29:15,"Вежливые сотрудники, приятный климат. Посещаю часто и с удовольствием.",5,
7,Павел Титов,2023-05-11 18:24:01,"Был в этом отделении несколько раз и в другие больше не хожу (хоть это и не самое близкое). Мне повезло наверное, но персонал в этом отделении не такой, как в других, реально чувствуется участие, желание помочь, подсказывают, как можно сэкономить. Молодцы одним словом!",5,
8,Виктория Копылова,2022-12-24 17:07:25,"Большой, современный офис. для ожидания клиентам предлагаются удобные диваны, есть детский уголок. Много банкоматов, но есть и персонал, готовый решить любой вопрос.",5,
9,Юлия Иванова,2023-02-02 18:00:18,"Обслуживание класс! Персонал вежливый, девочки всё терпеливые, быстро и качественно делают свою работу! Спасибо!",5,
10,Кудратбек,2023-10-09 16:12:20,Все отлично спасибо большое за 10 столь прекрасный комплимент спасибо 🌹🌹🌹🌹🌹,5,
11,Ольга Пташкина,2023-10-09 17:28:11,"Очень вежливый персонал, девушка которая нас обслуживала всё рассказала и показала, всё очень понятно.",5,
12,Инкогнито 6466,2023-04-09 11:35:22,"Персонал мне понравился,вежливый. Обслуживание и отшение к клиентам хорошее. Очередь идёт по талонам. Бывает что немного задерживают. А так мне всё понравилось.",5,
13,Татьяна Б.,2022-07-22 13:55:50,"Огромную благодарность хочу выразить сотруднице сбербанка Кузнецовой Елене Валерьевне за профессионализм и добросовестное отношение к труду. При неоднократном обращение в сбербанк, оперативно и качественно помогала мне разобратся во многих вопросах.Спасибо ей большое. Клиент сбербанка Т.Б.",5,
14,Галина Тихонова,2023-04-28 17:25:08,"Замечательное отделение Сбербанка, аккуратный офис, приятный, вежливый, отзывчивый персонал",5,
15,Милана Н,2023-07-21 17:24:45,"Часто бываю в этом отделении банка,только положительные впечатления,быстрое обслуживание,вежливый персонал",5,
16,Ольга А,2023-11-20 17:28:28,"Лестница почти всегда разбита, неужели у банка нет денег на ремонт подхода к банку. Печально(",4,
17,Дмитрий13,2023-10-21 06:11:40,"На прилегающей к отделению банка территории не работает наружное освещение, разве банк не должен предусмотреть безопасность приходящих клиентов?",2,
18,Евгений,2024-02-04 17:08:07,"Парковаться не удобно, но отделение хорошее",5,
19,татьяна шешукова,2023-01-13 17:45:06,"Специалисты высокого уровня, отзывчивые, доброжелательные. Ответят на все вопросы, помогут, проконсультируюсь.",5,
20,Анжелика Королевская,2023-06-04 14:52:21,"Чисто, уютно, вежливый персонал, банкоматы всегда в рабочем состоянии.",5,
21,Ольга А.,2023-11-23 18:56:28,"Удобное расположение, хороший банк",4,
22,Наталья,2022-11-20 16:30:19,"Мой любимый банк персонал очень внимательный.всегда помогут и подскажут.очередь если есть ,то в течение 10минут обслуживают.спасибо за заботу",5,
23,Леночка Р.,2023-01-17 06:16:59,"Пользовалась в данном филиале услугой ""Сбербанк логистика"",очень быстро всё оформили,вежливо общались.Товар дошёл быстро.",5,
24,Андрей,2023-10-04 12:29:55,"Персонал всегда помогает решить любой вопрос, вежливые.",5,
25,Малик Раджабов,2024-02-26 00:26:53,*** и *** ! Сливают информацию хотя я не давал права !,1,
26,Кэт Величева,2024-01-04 12:04:18,Девочки там всегда приветливые..,5,
27,Ольга Куликова,2024-02-18 17:12:46,Удобно приятное общение.,5,
28,Олег Б,2023-02-12 16:48:40,"Сбер как сбер, вот и всё.

Денег безвозмездно пока не выдают,
Персонал топлес пока не ходит,
Поэтому пока ставлю три звезды.
Короче есть куда стремиться)",3,
29,елена кузнецова,2022-09-01 18:12:11,"Обслуживание отличное, график работы совпадает с данными сайта Сбербанка. Время ожидания минимальное, если чуть больше 5 --ти минут извеняться и даже могут предложить скидку на какое нибудь приложение от Сбербанка.",5,
30,Наталья С.,2023-08-07 16:17:43,Очень вежливый персонал. Не бывает очередей огромных.,5,
31,Александр,2024-01-11 09:17:13,Место где можно побывать,5,
32,Татьяна Богачева,2022-09-04 19:11:04,"Хорошие, компетентные сотрудники. Но!!! Сделайте что-нибудь с интернетом!!! Без него возникают сложности при обращении, а тот, который подключают, часто не укладывается в лимит времени!",4,
33,Фунтик,2022-12-02 13:30:41,"По обслуживанию со стороны персонала нареканий нет, а во политика самого банка крайне наглая и монопольная. Сложилось так, что потребовалось оплатить коммунальные услуги, вляэл талончик, подошёл к окошку, сказал что у меня картой, попросили ещё раз взять талон и подойти в другое окно.
При попытке оплатить, выяснилось, что сбер не принимает карты другого банка. Только наличка или карта сбера. И это не только по коммунальные платежам, хто касается всего. 
Удобно быть крупнейшим бюджетным монополистом. Все примеры сюда не опишешь, но в очередной раз понял, почему не пользуюсь услугами данной структуры.",3,
34,Ирина Павлова,2023-10-02 11:04:19,"Удобное помещение, вежливые сотрулники",5,
35,Анатолий Русинов,2023-09-05 17:19:16,"Хорошее отделение, просторное и очередей мало",5,
36,Локусова Екатерина,2022-08-29 17:50:09,Внимательные и грамотные сотрудники. Уютно и все хорошо организовано.,5,
37,Алина Диордийчук,2023-08-30 09:27:06,Вежливый персонал и короткое время ожидания в очереди.,5,
38,Михаил веселов,2023-03-20 11:39:27,Отношения к клиентам хорошее.обслуживание быстрое персонал вежливый,5,
39,Наталья Волошко,2022-07-14 11:18:39,"Доброжелательные сотрудники. Всегда помогут. Нет больших очередей, все быстро.",5,
40,Sergey,2022-08-29 17:36:19,"Достаточно хорошее отделение сбербанка приятный персонал, небольшие очереди",5,
41,Natalia Kushnir,2022-05-01 21:12:57,"Хорошее отделение Сбера. Банкоматов много, всегда работают. Очередей нет. Чистенько.",5,
42,арман инджигулян,2022-08-12 18:54:39,Отлично Сбербанк очень хороший сотрудники понимает своё дело Спасибо вам,5,
43,Людмила Прохорова,2024-01-21 16:39:25,Хороший офис Сбера,5,
44,Игорь Валерич,2020-10-02 11:21:23,"Выражаю благодарность сотруднику отделения сбербанка по ул. Литейной Марине Копейкиной (окно 11), за добросовестное и качественное обслуживание при получении банковской карты. Очень отзывчивый, грамотный, доброжелательный специалист своего дела!",5,
45,константин зайцев,2023-08-31 17:28:51,"Хорошое отделение,только денег нет надо заказывать",5,
46,XXX,2022-05-27 09:14:15,"Пришла просто оплатить квитанцию. Комиссия за оплату суммы в 215 р. составила 25 рублей, это грабеж, в принципе как и все услуги сбера. По обсуживанию - сотрудница сбербанка сначала потребовала мой паспорт, потом начала проводить идентификацию личности, зачем то входить в мой личный кабинет сбербанк онлайн, карту сбера выхватила из моих рук, начала прикладывать к терминалу, это при том, что я не немощный или старый человек. Затем начала мне впаривать кредитную карту и предлагать перевести з.п.на карту сбера. На мою просьбу ничего мне не предлагать, всё равно продолжила нудные и долгие уговоры. Это при том, что я спешила и зашла просто оплатить увитанцию! Отвратительно!",1,
47,Юлия Борзова,2023-06-17 13:10:09,"Банкомат 24 часа, удобное расположение.",5,
48,Славан Захаренков,2021-11-14 08:17:02,"Хорошее расположение,большая площадь,сотрудники вежливые и хорошо всё рассказывают.Нет очередей.",5,
49,Арсений К.,2024-04-01 19:20:10,Комфортный сбер,4,
50,юра,2023-12-25 12:33:37,Отличное место,5,
51,ИГОРЬ САМОЛЕТОВ,2022-05-28 18:38:44,"Отличный слаженный коллектив,решают все поставленные вопросы и задачи!",5,
52,oleg.kaluga31764377@gmail.com,2021-07-04 11:30:35,"Здравствуйте, пришёл получить готовую карту, просидел минут 20,по талону никого не вызывали. Освободившийся оператор приглашает девушку, она оказалась без талона, оператор ей говорит, чтобы она взяла талон на получение готовой карты(т.е тот же вопрос, что и у меня), я подхожу и говорю, что я с тем же вопросом и жду уже 20 мин. Мне ответили, что ещё нужно подождать. А зачем тогда талоны и в общем ситуация совсем не приятная?!",1,
53,Сергей Лущенко,2023-04-29 07:31:37,Зашёл народу мало было по талонам вызвали персонал вежливый,5,
54,Александр Коновалов,2021-09-21 07:57:11,сегодня 21 сентября зашел перенастроить автоплатеж свет т.к изменен лицевой счет как мне ответили консультантов нет и до конца месяца не будет идите и сами изменяйте я ответил что не понимаю в ответ это ваши трудности .СЛОВ НЕТ .ОБСЛУЖИВАНИЕ НА ВЫСШЕМ УРОВНЕ!!!,1,
55,EXODUS,2023-10-15 11:03:29,"Хороший банк, мало народу.",5,
56,Ирина Антонова,2023-02-13 19:35:24,"Всегда свободный банкомат, чистенько",5,
57,Александр Шаталов,2022-10-25 20:41:11,"Быстрое обслуживание, грамотный персонал",5,
58,Алексей Ермаков,2021-09-26 20:07:59,"Большое отделение, работает в субботу (!), далеко не каждый Сбер работает в выходные.
Круглосуточные банкоматы и терминалы оплаты. Все они новые.",5,
59,Саша Ульянцева,2021-10-10 11:50:04,"Заказала карту на сайте. Максимальный срок изготовления карты 10 рабочих дней. Прошел почти месяц, а карты до сих пор нет. Медленно ребята, очень медленно.",1,
60,Игорь Малютин,2022-08-14 13:37:02,Вежливое обслуживание и грамотный персонал.,4,
61,Галина Макарова,2022-10-22 17:35:57,"Обслуживание на высоте,долгое время ожидания,навязывание услуг",3,
62,Владимир В.,2022-08-10 07:05:21,"Обычное отделение сбербанка, ничего отдельно выделить нельзя. Банкоматы стоят и функционируют. Работники сидят и работают, очередей как правило нет.",5,
63,Закир Шайхиев,2022-05-27 17:41:32,Отзывчивые сотрудники готовые помочь в любом вопросе.,5,
64,Викуся,2021-08-15 15:23:44,"Хороший приятный офис, чисто и сотрудники вежливые, хорошо работают",5,
65,Светлана,2023-01-12 13:20:50,"Хорошее отделение, выручает.",4,
66,Илья Серов,2022-07-30 18:05:00,"Отличный руководитель, помогла во всём",5,
67,Екатерина Т.,2021-08-01 08:10:51,Удобное расположение. Консультанты отделения помогают при оплате квитанций. Спасибо,5,
68,Евгений Кель,2023-10-16 11:43:58,Удобно,5,
69,Юля,2021-03-23 21:32:49,"Очень быстро обслуживают , отдельный вход с банкоматами , очень удобно",4,
70,Ольга Мамонова,2020-03-24 18:45:19,Очень рада что в моём доме. Очень большой операционный зал. И банкоматов достаточно. Ни разу не встречала очереди...поэтому самое любимое отделение банка.,5,
71,Инкогнито 6972,2022-12-24 10:29:23,Только положительные отзывы .,5,
