,name,date,text,stars,answer
0,Анастасия Никонорова,2024-04-16 10:36:09,"Отличный персонал, всегда помогут и подскажут при каких либо вопросах, быстро и качественно обслуживают, всегда приветливы и вежливы🤗",5,
1,Дания Белобаева,2024-03-15 16:04:27,"Нравится этот банк, потому что он в центре, всё рядом рынок и всё остальное. Обслуживание быстрое,.",5,
2,шамиль,2023-02-12 17:57:36,"Самый хороший филиал в городе, обратились незадолго до закрытия, но с нами все делали до конца, как положено. Очень быстро и качественно работают. Помогли разобраться с просроченным картами и т.д.",5,
3,i n,2023-07-05 15:26:20,"Заходил снять наличные, предложили выгодный подарок, персонал культурный и воспитанный, всем остался доволен, очереди огромной нет. Буду посещать этот сбербанк в дальнейшем.",5,
4,nata les,2022-12-25 13:05:21,"Очень качественное и быстрое обслуживание. Удобные диваны для ожидания, работает табло. Всегда есть консультанты в зале, помогают профессионально, не говоря о сотрудниках в окнах",5,
5,Георгий Ш.,2023-06-13 14:48:13,"Самый конченый в моей жизни офис сбера!
Карта была готова неделю назад, а они то не работают, то праздник, то одно то другое…
Карту так и не могу получить, по каким то там неведомым причинам, при чем у меня нет никаких проблем!
Тинькофф бы такое себе не позволил и разобрались бы за 5 минут.. а тут.. тьфу",2,
6,Рома Тимофеев,2023-08-09 16:44:49,"Хороший ,добрый, отзывчивый персонал всегда подскажут и помогут.Несколько банкоматов",5,
7,Tantitan,2022-06-27 19:16:25,"Одно из самых старых отделений Сбербанка в городе. Внутри много круглосуточных банкоматов . Сам офис тоже неплохой со свежими ремонтом . Сотрудников достаточное количество, при этом небольшие очереди имеются . Особенно если нужно сделать какой либо платеж - приходится посидеть минут 10-20. Если получить карту или кредит - очередей нет",5,
8,Виктор А.,2022-11-09 05:51:47,Круглосуточный банкомат.Удобные подъезные пути.Аккуратно и чисто.Персонал вежливый и отзывчивый! Проконсультируют и помогут сделать правильный выбор.,5,
9,Лейсан Гиниятуллова,2023-07-30 17:20:57,"Обслуживание хорошее, кроме одной сотрудницы. Очень не любит помогать,грубит.время ожидания терпимо.",5,
10,Евгений,2022-04-16 18:16:34,Филиал сбербанка находится в центре города. Радует отсутствие очереди. Вежливый персонал всегда готов помочь. Большое количество банкоматов. Имеется стоянка для машин.,5,
11,Марианна Соколова,2022-08-11 20:25:47,"Отношение к людям отличное, спасибо классным менеджерам по работе с клиентами. ипотека. Юле, Алене (которая в декрете) . Банкомат работает круглосуточно))))",5,
12,Vladimir S.,2023-10-04 13:52:01,"Не знаю как в остальном, но посылки получать целое испытание, пол часа можно просидеть в общей очереди.",1,
13,Валентина,2022-12-14 15:48:23,"Отделение работает нлрмально, сейчас хожу туда за товарами Сбермегамаркет. 2 минуты никактх осередец, беру талон, тут же вызывают банкоматы в коридоре, тоже без очередей.",5,
14,женя иванов,2022-11-29 16:44:17,Вежливый и опытный персонал. Обслуживание на высшем уровне. Всём рекомендую.,5,
15,Екатерина Васильева,2022-11-09 20:40:08,Юличка просто огонь! Лучший менеджер! Очень отзывчива и кометентна во многих вопросах!,5,
16,Александр Бочков,2023-12-06 19:33:30,"Обещали ипотеку 7, в итоге 11.9%",1,
17,Надежда Александрова,2023-01-31 06:17:15,"Три банкомата стоят, удобно. Для посетителей и инвалидов есть туалет, что не мало важно.",4,
18,Вадим Матвеев,2023-02-27 13:17:20,"Приятный персонал, быстрое и качественное обслуживание - коротко и ясно",5,
