,name,date,text,stars,answer
0,Ирина Басараб,2024-01-18 06:05:23,"Удобное расположение, банкоматы всегда работают ,хорошее качество обслуживания",5,
1,Наталья С.,2023-04-27 19:44:47,Центральное расположение отделения. Несколько банкоматов в постоянно открытом помещении. Современное оформление и оборудование. Хороший персонал. Время ожидания небольшое. Постаматы.,5,
2,Алексей Как есть,2023-02-18 13:50:22,"Отличный филиал которым я постоянно пользуюсь и посещаю. Персонал вежливый, отлично разбирается во всех вопросах и очередей нет. Единственное что инкосаторы могли бы выбирать время для перезарядки банкоматов, ато они приезжают в час пик когда и так большие очереди и из-за их вообще всё встаёт.",5,
3,Андрей Григорьев,2024-03-07 07:41:45,"Ужасное отделение, сотрудники просто удалились с рабочих мест не известно куда! Долго ждал, хотя народу почти не было!!!! Не рекомендую",1,
4,tim misak,2024-01-04 18:03:27,"Всегда большие очериди, долгое обслуживание, половина банкоматов не работают",2,
5,Лариса Б.,2024-01-27 06:27:03,"Быстро, удобно, вежливо!)",5,
6,Андрей Корбутов,2023-10-24 17:23:59,"Обычный банк , сотрудники хорошие , вот только за комунальные платежи пошлину надо убрать",3,
7,Neich,2022-12-28 18:37:55,"О-о-о, с этой ""лавочкой"" желательно не связываться вовсе как и сдругими его ""сёстрами"", как то Ростелеком, Мегафон, Росгосстрах и т.д.",2,
8,Анатолий,2023-10-26 11:22:48,Всегда можно подойти задать вопрос вам на него ответят,5,
9,Сергей Егоров,2023-03-12 13:26:17,Все время очереди как не придёшь. Банкоматы на выдачу и прием наличных часто работают не все.,3,
10,Юрий Васильев,2023-09-20 18:52:11,"Качество обслуживание ни какое, персонала не достаточно.",1,
11,Юлия,2024-02-11 12:20:46,Хороший банк,5,
12,Анастасия Софронова,2021-09-15 14:23:49,"Вторую неделю в данном месте(почтовый переулок) работает один банкомат из трех. Люди вынуждены стоять в очереди, чтобы снять наличные по 20-30 минут! Социальная дистанция не соблюдается. Сотрудники предлагают снять в кассе, там такая же длинная очередь. Одно из отделений банка закрыто на ремонт вместе с банкоматами, на весь город их теперь не хватает!",1,
13,Наталья,2022-12-13 12:26:30,Лучшее отделение Сбербанка! Мне очень по душе все работники💐,5,
14,Александр Кондратенков,2022-11-03 18:25:16,"Самый лучший сбербанк в Кириши, я бы добавил, что таких нет даже в санкт-петербурге.",5,
15,рюрик ди,2021-11-09 15:01:14,"Ввели втихаря различного рода ограничения и всяческие проценты на ранее бесплатные услуги(можете убедиться зайдя в онлайн банк и внимательно его просмотрев !!!) . Это теперь не банк , а тихий жадный бандит. Сдать карты и пусть Греф сам у себя проценты берёт !!! Отвратительно !!",1,
16,Андрей Кудрявцев,2021-09-07 09:01:05,"Всегда, именно всегда перегружен контактный центр, не дозвониться до операторов. На вопросы в сбербанк чате отвечаю по 2 часа и то если ответят. Карты не подключаются к SberPay. Но это в общем , а не именно на Советской.",1,
17,Кирилл,2023-06-19 16:52:07,Чисто пришёл и вышел с кредитом,5,
18,Vlad V.,2020-04-05 07:11:50,"Очень хорошее заведение: всё организованно на отлично, потоки клиентов разводятся в два зала, никаких скоплений людей, операторы квалифицированные и приветливые.",5,
19,Анатолий Семенов,2023-11-21 12:37:10,Нормик,5,
20,Анастасия,2021-12-19 09:53:24,"Удобное расположение, хороший сервис, вечером только не пробиться к банкоматам",5,
21,Донна Роза Дальвадорес,2022-11-21 18:22:14,"Новый ремонт, приветливые девушки.",5,
22,Шухрат Гапуров,2022-05-18 17:11:24,Все быстро и хорошо обслуживать.,5,
23,Алексей,2022-06-16 18:54:12,Всё на уровне персонал молодцы,5,
24,САНЯ,2021-10-12 09:47:03,"Поменять валюту, долго стоять в очереди. А так , приветливый и приятный персонал😉",4,
25,Дмитрий Домашевский,2021-08-30 10:20:55,"Сам банк ""плохой"", в этом отделении работают грамотные и приветливые девушки, спасибо им!",4,
26,Эдос Николаев,2021-09-07 19:56:44,В выходные не работают...минус им за это(((,3,
27,Родина Елена,2019-07-24 19:00:55,"Все расскажут и покажут вежливые девушки. Другое дело, что госполитика по поводу ипотек, кредитов и займов не вызывает желания туда обращаться.",5,
