,name,date,text,stars,answer
0,Анастасия Филимонова,2023-12-12 06:30:51,"хорошие сбербанк, качественное обслуживание, квалифицированные сотрудники, помогут при любой проблеме. Объяснят все подробно и доступно для каждого будь то подросток или пожилой человек.",5,
1,Любовь А.,2024-01-31 13:56:09,"В помещении удобно, много сидячих мест. Персонал отличный, всегда внимательные и терпеливые.",5,
2,Анонимный отзыв,2023-07-03 12:42:54,"Отделение Сбербанка в принципе очень даже неплохое 
Рабатуют профессионалы в своей сфере 
Добрый отзывчивый персонал 
Но небольшим минусом было то что зимой тут всегда на входе огромные лужи и слякоть от снега 
А так всё понравилось",5,
3,Нежная,2024-02-16 17:51:00,"Отлично. Персонал знает свою работу на 5+ Всегда вежливые, подскажут советом, если потребуется.",5,
4,Дмитрий Задорин,2023-11-03 13:37:45,"Ужасное обслуживание работает только 1 женщина в платежах и то , которая помогает всем с регистрацией в онлайн банке ,очередь, скопилась из 5 людей и все равно . Наймите нормальное количество персонала или пусть из подсобки выходят .",1,
5,😇,2023-11-12 13:52:38,"Очень приятные сотрудницы 
Обслуживание быстрое
Очереди везде есть",5,
6,Евгений Максимов,2023-09-23 12:11:23,"Стандартное отделение банка данной сети. В не рабочее время отделения банка банкоматы работают. В случае сбоя терминалов, есть терминалы рядом в Пятерке",5,
7,Александр,2023-04-26 11:47:45,Хорошей персонал. В помещении всегда прибрано. Из минусов иногда бывают большие очереди когда приходит зарплаты там всегда большие очереди и много людей,4,
8,Олег Лебедев,2023-10-18 08:01:06,"Хорошее отделение, грамотный, дисциплинированный, доброжелательный персонал.",5,
9,Леонид Зыкин,2023-04-02 05:21:42,"Никаких проблем, никаких очередей (в разумных пределах). Сотрудники все расскажут и объяснят. Хожу в это отделение с мамой 89 лет. Какое же терпение нужно иметь при общение! Спасибо, все хорошо",5,
