,name,date,text,stars,answer
0,Елена Макарова,2024-01-26 13:59:45,"Обратилась по поводу страхового полиса , оператор ( окно 12)оказалась совсем не компетентентна в этом вопросе , подгрузила не в том формате, на следующий день пришёл ответ от банка что документы не приняты . Пришлось идти второй раз .Прошу обратить внимание у сотрудницы такие длинные ногти , что она не могла нормально пользоваться планшетом , мое время было потеряно. За все время сколько раз 
я обращалась в это отделение такое впервые.",1,
1,Олег Брезгин,2023-11-05 12:41:23,"Спасибо менеджерам, помогли быстро решить непростой вопрос. Очень адекватный и вежливый персонал.",5,
2,Малинин Андрей,2023-11-16 15:15:26,"Удобный офис, время работы, отличный персонал,удобная парковка для автомобилей",5,
3,Михаил,2022-09-01 12:14:40,"Удобное место расположения. 
Всегда есть места для парковки автомобиля. 
В отделении свободно. Достаточное количество (вежливых) операторов. Наличие банкоматов работающих на прием и выдачу.",5,
4,Виктор Гончаров,2023-10-20 16:08:11,"Ни один банк не берет процент за перечисление а сбер что ты, проценты по вкладам жлобские дай бог здоровья и достатка
 хозяину банка",2,
5,Оксана,2023-10-24 14:23:20,"Чисто, все расскажут помогут и объяснят!",5,
6,Дмитрий,2023-02-15 15:32:59,"В самом сбере не был, только банкоматом пользовался. За них и ставлю 3 звезды. Периодически бывают не исправны",3,
7,Александр Вавилов,2021-10-20 09:04:57,"Комната 302, 2 комнаты, чистый, вид с окна огонь, в первой комнате была сломана кровать) но я её починил) так что спать можно спокойно и удобно)))",5,
8,Александр,2022-12-06 12:59:13,"Очереди хотя некоторые операторы сидят без посетителей, нужно организовать правильный приём и очерёдность.",3,
9,Galina Zaykina,2022-12-03 19:51:26,"Пользуемся,работают как все,Жаль ,что убрали консультантов,пожилым людям не удобно.",4,
10,андрей кушнир,2021-12-03 14:59:06,Был много раз. Обслуживание супер профессиональный подход к каждому клиенту. Спасибо большое Вам!,5,
11,Сергей Владимирович,2023-07-19 04:44:09,"Очень пахнет у банкоматов , там бомжи живут.",2,
12,Игорь Ким,2021-07-24 07:59:48,"Вежливый и компетентный персонал! Очень нравится система электронной очереди. Никто не толпится у окон, кабинок. А когда тобой занимается менеджер, никто не отвлекает типа ""мне только спросить"".",5,
13,Константин Шутов,2022-03-05 06:45:08,"Хорошее место расположения, удобный подъезд, сотрудники банка вежливые и общительные, хорошо обслужили, спасибо",5,
14,Светлана Горшкова,2021-05-05 13:06:01,"Обман сплошной, научились от недостачи избавляться. По терминалу обслужили, оплата прошла,, сделали вид, что касса зависла, не выпускают из магазина, заставили второй раз платить. Сказали, что вернется сумма. В итоге, деньги не вернули. Товар оказался мне дороже, чем в нормальном магазине. Бардак",1,
15,Юрий,2021-08-21 11:11:52,"Как отделение банка все устраивает, все хорошо. Само здание красивое, современное, но внутри его превратили в Черкизон, а это ниесть хорошо.",3,
16,Андрей Недорезов,2023-07-31 00:50:15,"Чистота, персонал.",5,
17,Людмила С.,2022-10-15 08:19:57,"Не плохо, но порой медленно",4,
18,Юлия Карпова,2021-09-02 12:25:36,"Очень нахватает кондиционера в зоне с банкоматами, духота невыносимая",4,
19,Анна М.,2020-01-23 13:44:58,Удобный. Много офисов. Хорошее и быстрое обслуживание . Онлайн сервис великолепный,5,
20,Андрей Сухарев,2021-09-01 18:21:29,Не большое отделение сбербанка. Всё как обычно в Сбере. Есть банкоматы 24/7,5,
21,Светлана Карманова,2020-02-09 07:55:38,"Уже привыкли к тому что его перенесли стало удобнее, больше места и хорошая парковка. , Но часто не работают терминалы",5,
22,Терехов Сергей,2020-01-03 10:59:49,"Оперативно и быстро, благодаря талонной системе, прекрасные менеджеры.",4,
23,Маэстро,2021-09-20 18:22:40,Дико-пляшущие цены на номера.,4,
24,Татьяна Ш.,2020-12-08 15:18:25,Грамотные и вежливые специалисты.,5,
25,Константин Овчинников,2020-02-04 18:39:23,Быстро и качественно,5,
26,Андрей Кушнир,2020-09-02 04:39:14,Но дала олю моль лп,5,
27,Иван Трясцин,2019-10-25 13:25:46,Рядом с работой удобно,5,
