,name,date,text,stars,answer
0,Евгения Павлова,2023-11-01 18:01:31,"Все отлично, персонал вежлив, отзывчив, работают быстро и качественно.",5,
1,Ивана Ивановна,2024-03-11 13:24:51,Персонал вежливый. Можно присесть на диванчик и дождаться своей очереди. Нет столопотворения.,5,
2,Владимир Т.,2023-09-17 10:10:52,Чисто. Уютно. Персонал вежливый и компетентный.,5,
3,саша власюк,2024-02-15 06:49:34,Емоцый много скажу что всё на 5,5,
4,Надежда МИХАЛЕВА,2021-09-23 07:21:25,"Офис находится в центре города, работает 7 окон что очень удобно, есть 3 банкомата. Персонал очень вежливый... есть только один недостаток в выходные дни офис не работает.",5,
5,Кот Бегемот,2023-03-16 16:44:52,Отлично работают. Вежливо и четко обслуживают.,5,
6,Горелый,2022-12-03 12:19:54,"Персонал вежливый, культурный ,обслуживание на высшем уровне",5,
7,Анастасия Исупова,2023-11-11 17:35:19,Хороший банк.,5,
8,Svetlana,2023-07-29 06:04:45,Вежливые сотрудники объяснят.помогут,5,
9,Олег Томашевич,2022-12-29 11:42:34,Очень мало места и точка! Но обслуживание на уровне.,4,
10,Виктор Ткаченко,2023-02-25 13:36:11,Быстро и оперативно обслуживают.,5,
11,605122 Петров,2023-07-07 15:09:41,Замечательно работают.,5,
12,Ольга Сидельникова,2022-01-29 02:21:54,"Вежливый персонал, быстрое обслуживание, понятно все объясняют!",5,
13,Эмин Акрамов,2022-10-19 14:55:28,Хороший персонал вежливый сотрудники,5,
14,Ирина Соболева,2021-08-12 10:23:31,"Внимательный персонал. Подскажут, помогут,объяснят.",5,
15,Алина Хайрзаманова,2022-07-20 11:08:33,"чисто, немного очереди.",4,
16,Ксения Сухаревская,2023-02-28 14:53:02,Медлено работают,3,
17,Рози Лауд,2023-07-03 19:41:45,Очереди :0,4,
18,ОЛЬГА неронская,2021-12-15 11:46:52,"Все на уровне, быстрое обслуживание",5,
19,Наталья Струнина,2020-03-15 09:22:53,Быстрое и качественное обслуживание доброжелательное отношение коллектива что ваше время стоить дорогого,5,
20,Baiginat,2020-01-18 04:13:59,"Хорошие, грамотные специалисты, консультанты. Особенно Ксения Ашихина.",5,
21,Виталий Б.,2021-07-14 10:22:32,Специалисты навязывают разные услуги Сбербанка.,1,
22,надежда скуратова,2020-04-06 21:28:09,Рядом с домом. Девочки всегда помогут выполнить ту или иную опперацию,5,
23,Ирина Селеткова,2019-12-03 16:14:49,"Быстрое обслуживание, грамотные консультанты. Но маленькие проценты по вкладам",5,
24,Владимир Чувинов,2019-12-15 05:06:11,Быстрее других банков проходит очередь. Вежливый персонал.,5,
25,Радик И.,2019-09-06 19:05:38,"Очень удобно использовать бонус ""Спасибо"" от Сбербанк...",5,
26,Вовка,2021-08-23 13:50:42,Очереди зачастую,4,
27,Kseniya,2020-01-10 06:56:39,"Все понравилось, удобное отделение",5,
28,Илиза,2019-11-04 09:15:09,"отличное, быстрое обслуживание",5,
29,Анонимный отзыв,2021-08-29 14:03:24,хорошее заведение,5,
30,Анастасия А.,2019-10-04 08:41:35,Вежливое обслуживание клиентов,5,
31,Сергей Пестерев,2020-06-29 11:54:37,Хорошее обслуживоние,5,
32,Светлана Зырянова,2020-02-21 14:10:07,Быстрое обслуживание,5,
33,Ольга З.,2019-11-03 12:13:24,Выгодные условия по кредитам,5,
34,Федор Штыхно,2019-10-30 16:48:35,Сбер он и в Африке сбер!,4,
35,S,2020-04-02 16:15:50,Греф и его команда к ним не ногой,1,
36,Дмитрий Е.,2020-03-04 14:47:04,к-качество,5,
37,Снежана К.,2019-09-14 16:53:15,Медленно,4,
