,name,date,text,stars,answer
0,Светлана Романова,2024-03-04 10:22:10,"Очень удобно расположен, комфортно, все услуги - от обменника и хранилища до выдачи ипотеки. 
Что особенно привлекает - есть переговорные комнаты, где можно удобно расположиться перед сделкой с недвижимостью, подписать документы. 
Есть кулер, 2 туалетные комнаты. Много диванчиков, где можно подождать вызова к специалисту по электронному табло. 
Отдельно хочу отметить ипотечный отдел: - чрезвычайно приятные сотрудники: вежливые, обаятельные, высокопрофессиональные! И хорошие психологи к тому же!",5,
1,Грациела Делчева,2024-03-04 21:23:00,"Одно из любимых отделений Сбера для проведения сделок с недвижимостью. Всегда быстро, четко, профессионально. Спасибо всем сотрудникам отделения, с вами всегда приятно работать.",5,
2,Ирина,2023-05-29 08:40:15,"Одно из лучших отделений сбербанка, в которых приходилось бывать. Просторный двухэтажный офис, большое колличество операционистов, которые оперативно решают любые вопросы, персонал грамотный и доброжелательный. Всегда помогут и подскажут, если возникли какие то вопросы. В отделении есть все банковские продукты. Имеются ячейки . В этом отделении можно решить любой вопрос потратив минимум времени.",5,
3,Павел,2023-11-09 15:09:40,"Хороший, современный филиал Сбера . удобно, чисто, профессиональный персонал, практически и нет очередей, много новых удобных банкоматов . Мне нравится.",5,
4,Тиона Иванова,2024-04-12 17:00:34,"В пешей доступности от метро, большое просторное помещение на 2 этаже(подниматься по эскалатору), имеются переговорные комнатки. Аккредитивы,ячейки. Много окон больше 48.Персонал вежливый. Очередь к менеджерам -специалистам идет быстро.",5,
5,Vladimir,2023-11-04 11:56:17,"В центре Москвы отделение Сбербанка, это удобно для клиентов. Достаточно специалистов, чтобы получить консультацию и помощь в денежном вопросе. Вежливые операторы. В целом, все достойно, без проволочек. Приходи, получи талон и немного времени и ты уже у специалиста.",5,
6,8293 амосова,2024-02-28 13:37:23,"Спасибо менеджеру, который занимался нашей сделкой купли/продажи через Дом Клик, очень профессионально, быстро, четко. Продажа имущества всегда стресс, но в Сбере все прошло на ""ура"". Спасибо!",5,
7,василий д.,2023-11-02 17:02:02,Сбербанк просто прекрасный. Обслуживание замечательное персона очень внимательный всё объяснят и все покажут. Расположение приятное. Хожу сюда очень давно и всем рекомендую.,5,
8,Татьяна П.,2023-11-22 15:10:30,Очереди большие но только думаю потому стоив центре . Очередь идет быстро . Сотрудники вежливы и компетентны . Сделали все быстро . Посоветовали удобные и выгодные для меня действия по ипотеке,5,
9,Ольга Бобкова,2023-11-23 12:08:15,"Большое отделение, проводили сделку по недвижимости. Менеджер оперативно оформлял все. Но очень много посетителей, есть очереди в кассы и в ячейки, электронный оборот есть,но приходится ждать. В общем все понравилось",4,
10,Pavel Kis,2023-12-06 12:40:51,"Большое и удобное отделение. Специалистов на ресепшене не всегда хватает. Много народу, а окон обслуживания явно не хватает. А так, как почти во всех отделениях, чистенько, есть достаточно места для ожидания.",4,
11,Natalia,2023-12-14 09:33:08,"Хорошее отделение сбербанка, правда народу всегда много всегда и ждать приходится по часу, но специалисты квалифицированные, помогают, объясняют, есть су, рекомендую",5,
12,Андрей С.,2023-11-23 08:25:41,"У меня обязательство перед сбербанком, взял кредит, исправно плачу этот заем. Уже 2 года. В день очередного платежа по счетам я обеспечил платеж по кредиту суммой денежных средств чуть больше чем требовалось. Был удивлен что сбербанк с писал денежные средства сверх суммы платежа по кредиту. Позвонил в сбербанк где мне ответили что я еще должен 9 рублей по кредиту. При этом сбербанк уже забрал на 728 рублей больше чем требуется. При повторном моем звонке сбербанк извинился и уведомил меня что вернет мне 728 рублей в течении трех дней. Почему если бы я опоздал с платежом то меня наказывают по полной программе а сбербанк в лице Грефа считает нормальным задерживать возврат средств. Сегодня прошло три дня время 14 .30 но денег 728 рублей на своей карте я не увидел. P/S Деньги вернули только через 6 дней ,причем это была внутренняя транзакция которая должна была произойти мгновенно. Этого не случилось теперь я тоже имею право задерживать платежи по кредиту.И ЕСЛИ ВЫ БУДЕТЕ ПРОТИВ ТО Я ВАМ ОБЯЗАТЕЛЬНО НАПОМНЮ О ДАННОЙ СИТУАЦИИ.",1,
13,Елена Шпакова,2024-03-28 20:54:10,"Нравится этот офис для оформления сделок через Домклик, как с ипотекой, так и без - с электронной регистрацией и сервисом безопасных расчетов. Исключительно положительные впечатления от общения со специалистами: всё быстро, чётко, профессионально и доброжелательно. 
Хорошее расположение в центре в комфортной близости от метро.",5,
14,Нелля,2024-02-21 10:20:37,"Самое популярное отделение, хотя для посетителей не самое удобное. Сотрудники отличные, отзывчивые и профессиональные.
Особенно отдел сделок ДомКлик",5,
15,Светлана Бураго,2023-11-30 17:24:39,"Как может организация, которая существует за счет средств вкладчиков менять и устанавливать условия в одностороннем порядке. Невозможно стало пользоваться продуктами, которые предлагает Сбер: онлайн кинотеатр Окко - не работает нормально, только подписка списывается (самостоятельно отключить невозможно!), карты перевыпускаются без согласования с клиентом (на условиях, которые хочет банк), для активации требуют установить мобильное приложение... Зачем???? Я не доверяю телефонам и банку, а тут обязательное условие. А если кнопочный телефон, то предлагают у знакомых активировать симку и приложение, чтобы оформить карту. ППЦ - это как???? Нахрена такие сложности? Не знаете как втюхать свои it-продукты? Почему с браузера нельзя провести активацию? Потому что приложение плохо работает!",1,
16,Марина Шегурова,2024-01-15 12:46:42,"Хорошее место, народу много, понятно центр, но очередь идёт быстро. Всегда вежливые и высокопрофессиональные специалисты.",5,
17,Мария Ч.,2023-12-09 12:40:05,"Мы уже полтора часа сидим и ждём, когда нас позовут по талону на обмен валюты. Работает всего два окна и за полтора часа пустили официально по табло одного клиента. При том, что в промежутках пропускали и других людей в Данные окна. Что за беспредел? Почему мы должна брать талоны, сидеть и ждать по честному очередь свою, когда вне очереди сотрудники банка пропускают других клиентов. Так выдавайте, значит, им талоны, и пусть так же сидят и ждут своей очереди. Им больше надо? Или что?",1,
18,николай карманов,2023-07-13 18:42:07,"Банк расположен очень удобно возле остановки, всегда удобно к нему добраться. Обслуживание проходит хорошо, Персонал вежливый, отношение к клиентам как к родным. Время ожидания достаточно быстро проходит. Во всяком случае у меня обслужили быстро и культурного. Рекомендую посетить.",5,
19,Виталий Соболев,2024-01-07 13:54:51,Большое отделение банка. При входе ряд банкоматов. На втором этаже само отделение с окошками. Так же есть переговорные комнаты. Их можно спокойно занять и провести деловую встречу. От метро пешком минут 10. Парковку можно найти только на соседней улице.,5,
20,Эдуард Хмель,2023-06-19 14:19:33,"Хороший аккуратный филиал сбербанка. Чисто , аккуратно, кулер, туалет, наличие консультанта. Обслуживание на хорошем уровне. Парковка подземная 350р. час. Рядом кафе, рестораны, магазины.",5,
21,Евгений П.,2023-06-19 19:01:48,"Отличный офисс сбера , удобный , большой , комфортный, делали аккредетив сложная сделка все помогали , ОСОБАЯ БЛАГОДАРНОСТЬ САВИНОЙ НАТАЛИИ , очень замечательный сотрудник , до конца в пятницу почти на час задержалась , пока нас не сделала .СПАСИБО",5,
22,Кристина Орлова,2024-02-10 13:16:34,Хорошее отделение в центре Москвы сотрудники очень приветливые и доброжелательные в очереди ждала буквально 10 минут необходимо было перевыпустить карту.,5,
23,Светлана Юба,2022-11-24 11:46:20,"При покупке квартиры воспользовались этим отделением Сбербанка... Очень понравилось!!! Много удобных переговорных, вежливый персонал и конечно очень удобное расположение банковских ячеек на втором этаже. По просьбе продавца рассчет производился наличными средствами. Несмотря на это чувствовали себя комфортно и безопасно. Очень быстро прошла регистрация купленного нами жилья. Вообщем высшая оценка по качеству обслуживания!!! Всем советую!!!Но конечно будьте внимательны!!! *** могут быть в любом месте!!! Всем здоровья и безопасных сделок!!!",5,
24,Григорий Саяпин,2023-11-14 18:59:37,"Плохо, что нет парковки. Вежливые профессионалы своего дела. Сделку по недвижимости оформили за 25 минут. Менеджеру огромное спасибо. Молодцы!!!!!!",5,
25,Евгений Д,2023-12-18 11:05:03,"Хорошее большое отделение, удобное расположение, достаточное количество банкомат, хорошее обслуживание, пользуюсь этим отделением постоянно. В пик по количеству посетителей, более получаса не разу не проводил.",5,
26,виктор шпаков,2023-11-15 07:51:21,Данный филиал банка расположен в очень хорошем месте. Сотрудники отзывчивые если надо то помогут и подскажут. Очень маленькое время ожидания.,5,
27,Ольга Хапренкова,2024-03-20 17:46:02,"Хороший Сбер. Обслуживание быстрое. Персонал доброжелательный. Помогают, подсказывают, не навязчивые.",5,
28,Князев Артём,2024-03-10 12:49:59,"Самое лучшее отделение в Москве Сбер! Самые лучшие сотрудники! Снял 1000 500 наличными, без предварительной записи, сотрудники беспрекословно, выдали за две минуты наличные, пожелали удачи в делах! Буду всегда пользоваться Сбером! Лучший банк России. Рекомендую всем!",5,
29,Екатерина Бастис,2024-01-08 17:18:01,"Удобно расположено.Недалеко метро.Два этажа.Первый-банкоматы,второй обслуживание клиентов.Приятный персонал.",5,
30,Денис Качура,2023-05-29 12:20:25,"Большое отделение сбера, в котором исторически заключают много сделок с недвижимостью. Все сотрудники хорошо в вопросе разбираются и учитывая, что рядом мфц, Вся сделка по покупке/продаже недвиги через аккредитив, например, может занять менее часа. 
Бывает многолюдно, но обычно мне везло и дольше 5-10 минут я никогда не ждал.",5,
31,Елена Т.,2024-02-05 18:56:01,"Большое отделение, грамотные специалисты. Проводили сделку купли-продажи квартиры, все четко и быстро.",5,
32,Елена Панфилова-Кочина,2024-03-05 09:17:01,"Курс покупки валюты очень высокий (разница с другими офисами Сбера до 2-х рублей!!!) , на большие суммы спец курс не фиксируют.
Народу полно, очереди ожидания до часа.
Ожидание посещения ячейки может быть и более часа.",3,
33,М. З.,2022-12-31 17:05:31,"Несколько раз оформляли сделки с недвижимостью. И аккредитивы и купля-продажа с альтернативой - всё всегда чётко, быстро, качественно. Никаких проблем не возникало. Помещение большое, есть место для ожидания своей электронной очереди, несколько банкоматов и терминалов самообслуживания. Есть пункт сберлогистики. В общем, хорошее отделение Сбера. От метро недалеко.",5,
34,Margarita Z.,2024-03-06 19:07:06,"Вопиющий случай, что за служба безопасности? когда даже позвонив бабушке они заблокировали карту, оставив ее без денег в магазине,потому что им что то показалось подозрительным.... То ли бабушка неуверенно на вопросы, по их мнению, отвечала, то ли не правильно.... Сказав ничем не можем помочь, шуруйте в 86 лет в отделение банка... Хотя карту сделали, как раз для того, чтобы она ходила в магазин и обратно",1,
35,цибискин игорь,2024-02-17 12:11:34,Добрый день. Проводил не ипотечную сделку по акции за 5 900 ( и регистрация и рассветы). Все оперативно и корректно прошло и мой продавец получила деньги на свой счёт оперативно.,5,
36,stas St,2023-12-24 10:03:36,"Битком народа, сервис на троечку, концепция двухэтажного офиса с эскалатором себя не оправдала, для премиальных клиентов два футбольных поля, пустых, со скучающим персоналом и для простых смертных, мене 80 кв метров, и очереди",3,
37,Станкович Ирина,2024-03-19 18:22:35,Очень внимательный персонал. Уважительное отношение к клиентам. Обслуживание на высоте! Очень удивило и обрадовало стремление сотрудников не допустить мошенническую сделку),5,
38,Светлана М,2023-09-07 16:13:43,"Проводим здесь много сделок. Обслуживание на высшем уровне, впрочем как всегда в этом отделении. Все четко и по делу. Благодарю менеджеров по сделкам, 1-7 окно. Всех благ!",5,
39,Natalya S,2023-11-06 10:58:01,"Большое отделение. Есть переговорный комнаты. Быстро открывают аккредитивы. Очереди есть, но быстро проходят. Есть туалет.",4,
40,Сергей Буяков,2023-12-20 20:49:47,"Отличное место для проведения сделки. Жаль, что не всегда сюда можно попасть, а если такая возможность выпала, то штат сотрудников работает отлично.",5,
41,Евгений Власов,2024-04-13 10:17:36,"Близко от метро. Большое количество окон, где происходит обслуживание клиентов. Быстрое обслуживание,чем я и был доволен.",5,
42,Александр,2023-10-26 12:25:38,"Большой, современный офис в центре Москвы. Доступны все финансовые операции. Очередей практически нет. Обслуживание на высшем уровне. Единственный недостаток, неудобно парковать автомобиль.",5,
43,Татьяна Суворова,2022-10-27 09:16:36,"На мой взгляд одно из лучших отделений Сбера в Москве. Работают всегда оперативно, быстро и грамотно. Просторное современное помещение, много переговорных, многофункциональное отделение. Удобное расположение в шаговой доступности от ст. метро Тверская, Пушкинская.",5,
44,Boris Krutov,2024-03-01 16:07:15,В отделении работает офис Домклик с профессионалами высочайшего класса. Сделку с аккредитивом с трансферацией по земле нам сделали за 36 часов под ключ!!! Рекомендую.,5,
45,Ирина Плотникова,2024-03-17 06:59:39,"Хорошее расположение, всё удобно доступна навигация. Быстрое обслуживание.",5,
46,"Ольга """,2024-02-13 13:23:39,"Были 8 февраля на сделке из трех ипотечных квартир у Черникова Александра. Все быстро, оперативно! Не побоялся взять нас к себе. Спасибо за профессионализм!",5,
47,Александр Карушев,2024-04-02 11:38:44,"Когда понадобилось купить валюту, народу было столько, что сразу обозначили время ожидания от часа и более. Зашел позднее, оказалось нестандартную валюту (иены) нужно заказывать заранее, даже если на сайте указано ее наличие.",4,
48,Аня Казанская,2023-08-22 12:14:13,"Великолепный филиал сбера , все быстро и очень цивильно. Отдельная благодарность Блохину Олегу за то, что принял нас экстренно на сделку, оперативно и четко ее провёл)",5,
49,👸,2023-07-15 17:53:39,Монетный бутик. Отличное отделение. Сотрудницы все вежливые. Приятное общение. Большой ассортимент монет из драгоценных металлов. Отличное вложение денег. Большие спасибо за вашу работу!,5,
50,Княгиничев Виталий,2024-04-21 19:58:36,"Я в целом про Сбербанк. Отправил деньги дочери из Сбера в Сбер. Деньги не дошли. И что вы думаете? Через поддержку вопрос решить нельзя! Нужно идти в офис, писать заявление! Ребята про клиентоцентричность даже не слышали. Люди внутри своего банка не могут отследить переводы! Ха-ха-ха…",1,
51,Anton Yarmonov,2023-11-29 12:24:22,"Простая операция - покупка наличной валюты, уже 25 минут стою в очереди. Просто бардак. Ни в одном другом банке такого нет! Везде быстро и оперативно. Никогда сюда больше ни ногой!",1,
52,457273 Алексей,2023-02-27 12:13:54,"Очень удобное расположение, рядом с метро. Внимательный персонал и качественное обслуживание. Всегда посоветуют и объяснят плюсы каждого продукта. Можно воспользоваться банкоматами.",5,
53,Eve Silver,2024-02-01 18:09:15,"Здравствуйте. Почти все хорошо в сбере,но в банкоматах рваные,грязные,клеяные купюры..их даже трогать противно,как так можно вообще! Надеюсь хоть кто-то начнет это контролировать. Вообще по закону такие купюры подлежат утилизации!",3,
54,Татьяна Разумова,2022-10-22 18:13:38,"Весь спектр услуг. Просторные помещения, персонал меняется в отделениях, как и везде, но нареканий не припомню. Не очень близко к метро и плохо с парковкой. Однако сберу с его практически монопольным влиянием можно не беспокоиться за отсутствие клиентов. Время ожидания зависит от требуемых услуг. Но нет такого-«ушла на базу, буду через 15 минут»..",5,
55,Никита Кулаков,2024-01-11 13:21:54,"Хорошее отделение, оформляли там сделку по квартире. Не было похоже на обычное сберовское отделение, так как при входе вас не встречает огромная толпа очереди)",5,
56,Ольга Нескажу,2023-08-02 18:25:52,"Были в этом сбербанке. Все быстро, вежливые сотрудники. Прекрасное обслуживание! Обязательно приеду ещё! Отношение к клиентам на отлично! Время ожидания отлично!",5,
57,Наталья Пономарева,2023-12-28 16:42:48,"Большой офис, решается любой вопрос, для клиентов достаточно места, быстрое обслуживание",5,
58,Милана Сошина,2023-10-28 11:52:54,"Пятёрку ставлю за высокий уровень подготовки сотрудников. Работаут быстро, грамотно.",5,
59,Евгения Штефан,2024-03-21 15:58:17,"Ужасные очереди. При попытке отправить посылку пришлось ждать пол часа(хотя больше на отправку /получение никого не было), а потом самостоятельно искать сотрудника который помог бы с оформлением.
Приложение для отправки сбер посылок не устанавливается",3,
60,Юлия Эллингтон,2022-08-06 18:48:27,"Удобное расположение , большое пространство, отсутствие очередей. Первоклассный сервис!... Начинающий специалист Ольга быстро и корректно решила мою задачу и представила дополнительные продукты Банка, ненавязчиво рассказав о них. Помогла с адаптацией онлайн приложения.

Я довольна работой этого Отделения Банка, здесь вежливый персонал и достаточно широкий спектр услуг для физ.и юр.лиц. Работают на удивление быстро. 

Спасибо Вам. Буду рекомендовать Ваше отделение своим знакомым.",5,
61,Сергей Завьялов,2022-11-11 22:30:24,"Стильное отделение на Тверской. Эскалаторы. Дизайн. Много окон для электронной очереди. Отличие от других отделений: 1. Есть несколько переговорных, где можно заключить сделки купли-продажи со сторонами и юристом и тут же в отделении финансово оформить сделку. 2. Продленные часы работы до 20:30 и в субботу вроде до 17:00. 3. В обмене валюты можно заказать сумму нужными вам купюрами. Например, всегда заказываю за 2-3 дня 100-150$ по одному доллару на чаевые перед поездкой за границу. Где ещё такое возможно???",5,
62,Дмитрий Ч.,2024-02-23 17:54:18,Менеджер Татьяна из 29 кабинета огромный профессионал своего дела. Также благодарность всему коллективу банка,5,
