,name,date,text,stars,answer
0,Евгения Т.,2024-01-19 21:31:42,"Отделение Сбербанка находится в центре поселка, вблизи автобусной остановки.Сотрудники внимательные,вежливые,что очень приятно.Один маленький минус, хотелось, чтобы в будни банк работал хотя бы до 19часов,а так всё хорошо.",5,
1,Геннадий Д.,2024-02-27 19:01:43,"Всё хорошо, персонал отделения внимательно относится к клиентам. Спасибо коллективу за отношение к клиентам.",5,
2,K S,2023-11-14 04:12:08,Очень добрые и вежливые сотрудники банка ! Управляющая быстро помогает по всем вопросам что касается индивидуально . Всегда подскажет и поможет . Персонал профессионалы своего дело . В зале всегда чистота и порядок . Банкомат большой+,5,
3,barberschopjr,2024-03-16 10:32:52,Очень хорошее и быстрое обслуживание. Огромное спасибо Дарье.,5,
4,Полина,2024-01-09 15:51:52,"К персоналу вопросов нет, девочки всегда отзывчивый и доброжелательны, но почему нельзя сделать круглосуточный банкомат на первом этаже? Во всем Лесном наступает 7 вечера и деньги нигде не снять и не положить.",4,
5,Russian,2023-05-29 17:39:37,"Достоинства: персонал доброжелательный и профессионально хорошо подготовлен.
Недостатки: график работы неудобный. Помещение находится на втором этаже. На входе установлен пандус для людей с ограниченными возможностями, но дальше они подняться не смогут - лифта нет.
Банкомат расположен внутри помещения банка и доступен только в рабочее время отделения.
Обычно в отделении бывает многолюдно и выстраиваются длинные очереди, но электронная очередь отсутствует и приходится по старинке искать последнего и стараться его не потерять.",3,
6,евдокия селиванова,2023-10-23 19:59:50,Спасибо сотрудникам всегда внимательны и подсказывают как лучше.,5,
7,Максим камнев,2023-06-03 14:15:43,"Работают по своему расписанию. Выходные воскресенье и понедельник. Если что-то нужно в понедельник, стартуй в Пушкино. То ли сотрудников не хватает, то ли система государства в государстве-на усмотрение руководителя.",3,
8,Александр Власов,2024-01-14 18:38:09,"Вежливые сотрудники, культурное обслуживание.",5,
9,наталья буракова,2024-04-03 15:27:23,Очень вежливый и отзывчивый персонал,5,
10,Дарья Рейзова,2022-07-20 06:22:50,"Мой любимый Сбербанк, очереди мне не помеха, отношение отличное, персонал вежливый, банкомат работает, очереди к банкомату почти не бывает! Рекомендую 👍",5,
11,сергей соболев,2024-04-02 12:27:34,Вежливый персонал.Оперативно работают.,5,
12,Анна Копосова,2024-03-09 18:01:42,Больные и пожилые никогда не поднимуться на второй этаж.,1,
13,Юлечка Наумова,2022-05-19 22:00:56,"Хорошее отделение. Всегда порядок, сотрудники приветливы со всеми без исключения, глухим бабулькам говорят погромче, непонимающим что-то объясняют как детям! Бывают конечно очереди, но разве что сразу после обеденного перерыва",5,
14,Сергей Шеболков,2022-07-20 11:25:26,"Быстрое обслуживание, не смотря на большое количество посетителей, единственный минус это время работы. Есть банкомат",4,
15,Нина Борисова,2022-05-26 11:29:14,"Отличное обслуживание,персонал компетентный и высококвалифицированный,рекомендую.",5,
16,°. \H.S/.°,2022-01-21 03:04:06,Обслуживание очень понравилось 😇 люди работники очень приветливы добрые если что то не знаешь или не понимаешь полностью показывают что и как спасибо работникам банка удачи вам всем 🥰,5,
17,Александра Дороговцева,2022-05-29 17:38:19,"Обычный деревенский банк. Аппарат работает на приём и выдачу, в операционное окно не обращалась. Не удобно подниматься на 2й этаж, и в принципе, когда открываешь входную дверь, непонятно куда попал.",4,
18,Миша Якобсон,2023-01-19 17:25:44,"В общем-то стали оперативнее работать, чем в прошлые годы, что радует, например.",5,
19,Антон Казаков,2022-11-18 11:29:15,"Все хорошо, но могли бы график работы увеличить! Что такое до 18! И в понедельник у них выходной! И перерыв на обед присутствует! Однако…",4,
20,Diana,2023-03-14 08:28:56,"Нет заезда для коляски ,ни лифта ничего. раньше был уголок в банке для ребёнка, сейчас и его нет",2,
21,Дмитрий Соколовский,2023-11-25 00:30:58,Обычный банк,5,
22,Татьяна Лобанова,2021-08-11 10:09:47,"Маленькое, но очень удобное отделение. Девочки всегда вежливые и помогут в любой ситуации. Всем респект",5,
23,Zayaya,2023-03-29 08:00:37,Все отлично и сотрудники и график работы!,5,
24,Дарья Ч.,2021-08-06 09:51:16,"Стоять в очереди более 2,5 часов-и все для того чтобы просто забрать банковскую карту. Малюсенькое помещение с 5 стульями для посетителей и 2 окнами обслуживания. Отсутствие электронной очереди. С 13:00 до 14:00 обед. И все это в современном мире...",1,
25,Елена Шевченко,2023-05-27 16:34:26,Внимательное отношение к клиентам по мере возможности.,5,
26,Иван,2023-01-06 06:33:24,"Хорошая обстановка, но почти всегда очереди🙁",4,
27,Елена А.,2021-01-17 07:27:48,"Светло, тепло и уютно. Компетентный и вежливый персонал. Всегда помогут и расскажут, что Вас интересует.",5,
28,Александр Косарев,2023-05-14 20:20:21,"Отстой. Вечно закрыт. То обед,то не работают. Не советую.",1,
29,Elina H.,2023-08-22 08:16:47,Очень хорошее обслуживание,5,
30,Роман Гречишников,2023-09-02 20:18:54,"Более менее ,живая очередь",3,
31,vladimir levakin,2021-08-01 19:46:06,"Здравствуйте, всё как и обычно в Сбере,не очень удобно подыматся на второй этаж где тебя ждёт ещё и тяжолая металлическая дверь,банкомат всего один!",4,
