,name,date,text,stars,answer
0,Виолетта,2023-12-16 18:48:15,"Всегда вежливые опрятно одеты не грубят ничего очень прям такой хороший коллектив.
И подскажут и примут вовремя так что замечательный",5,
1,Алина Г.,2023-07-28 20:10:55,"Очень вежливый персонал, обратилась в банк для того чтобы мне установили приложение SBOL, девушка очень внимательная и доброжелательная сделала все за 10 минут, так еще и предложила завести 2 карты дополнительно (кредитную и молодежную) и объяснила для чего они. В общем я очень довольна 😊",5,
2,михаил кравец,2022-07-28 18:01:08,"Самый лучший филиал в городе . Персонал работает быстро , четко и внимательно по отношению к клиентам . И все равно предпочтительнее всех в плане доброжелательности к клиентам девушка из окошка номер 2 , не помню ее имени . Бывают такие дни , что посетителей в филиале совсем немного и долго ждать вызова не приходится . Расположение филиала очень удобное , но на автопарковке не всегда бывают места , как впрочем и по всему городу .",5,
3,Анастасия Васильчикова,2023-06-07 12:19:01,"Хорошо что в этом районе есть Сбер. Народу не много, очередей нет. Вежливые сотрудники. Только обязательно смотрите время работы, немного сокращен график и по каким то будним дням не работает",5,
4,серж Майоров,2024-03-19 18:07:32,"Всегда очередей мало. Все быстро и грамотно. Руководство отделения банка, супер",5,
5,Лиля Кулик,2023-07-10 06:07:03,"Вежливый внимательный персонал. Особенно заведующая отделением. На все мои вопросы она ответила в полном объеме. Посоветовала нужные именно мне услуги Сбера. Чувствовалась её заинтересованность в том, что бы мне помочь. И из всех вариантов мы выбрали оптимальный! Спасибо🙂🙂🙂",5,
6,….,2023-09-04 03:15:08,"Девочки очень внимательные , ориентированные на результат. Спокойная и культурная обстановка.",5,
7,Guli,2023-04-10 17:26:43,Очень приятно удивлена! После ремонта и тд ! Персонал новый вежливый и нет большой очереди ! Ставлю жирную пятёрочку,5,
8,эдуард семёнов,2023-11-01 04:56:01,"Очень удобный круглосуточный, теплый банкомат.",5,
9,Руфина,2023-10-21 16:07:58,Всегда хожу только в этот сбербанк нет много очередей все аопросы помогают решить быстро!,5,
10,Сергей Гребенчук,2023-05-26 13:08:47,"Отличный филиал. Много банкоматов, ну и вообще офис работает как надо. Ремонт надо делать, плохое расположение мест для ожидания.",5,
11,Дмитрий Околов,2022-07-21 15:38:06,"Все что нужно есть. Современный банк с современными возможностями и оборудованием. Спасибо, что сохранили банкоматы. Очень удобное расположение. Есть кофейный автомат",5,
12,Кристиан Жекю,2023-01-19 06:20:12,"Просто колоссальная очередь в этом отделении. Никто не поможет, нет просто сотрудника который мог бы помочь и рассказать что и как. В итоге пришлось простоять час в очереди что бы в окошке мне за 30 секунд рассказали все что меня интересовало. Остался крайне недоволен.",1,
13,хабар барыгов,2023-12-05 20:42:16,"Оформлял карту, быстро и профессионально",5,
14,Тима Южный,2022-02-04 09:24:11,"Это катастрофа! Принес деньги в любимый сбер, но так и не дождался своей очереди. Нет. Не потому что много людей, а потому что работает всего 2 окошка из 8. Когда я вернулся во второй раз и прождал около 30 минут, то Луиза Веледова старший менеджер по обслуживанию, сказала что мои требования (по составлению обращения не имеют смысла) она так решила. Проблема решилась походом в другой банк за 6 минут. (Вместе с ожиданием). Вывод: лучше не тратить свое время и ехать в другое отделение или другой банк.",2,
15,Валентина Магденко,2021-11-30 10:30:46,"Хорошее обслуживание, редко бывает скопление, народа, удобный зал, но подъехать сложновато из-за одностороннего движения, хорошо было всем, когда находился этот сбербанк на Февральской, где магазин Волна"", теперь там"" Магнит""",5,
16,267814 Васильева,2024-02-13 18:30:52,Очень внимательные сотрудники,5,
17,Михаил Беляев,2022-06-19 19:06:25,Банк хороший удобный и очереди не большие хорошие диванчики и прохладные стулья правдо летом там бывает жарковато,4,
18,814456 Наточиева,2023-03-04 15:15:17,Очень хороший дружелюбный персонал . шикарное отношение к клиентам .,5,
19,Пятигорчанин,2022-10-16 05:52:59,"Реинкарнация сберкассы, которая когда-то находилась на той же улице, но на первом этаже многоэтажки. Офис оформлен в современном для Сбербанка стиле. Включает помещение, в котором установлено три круглосуточных банкомата. Рядом две трамвайные остановки и небольшая площадка для парковки автомобилей. В самом офисе располагается постамат Сберлогистики. В офисе поменьше людей, чем в других отделениях, но очередь тоже есть. Неудобный режим работы - закрывается в около 18 ч.",4,
20,Bereg,2023-09-20 21:15:34,"Электронная очередь, диванчики, банкоматы. Все что надо есть.",5,
21,Ivan Verbickii,2022-12-02 09:52:05,"Отличный персонал и отношение к клиентам, очереди тут бывают редко, удобные банкоматы.",5,
22,Артур Баласанян,2022-07-03 18:18:58,"Для каждой организации важно организовать Парковку, вот парковка там отвратительная, угроза от трамваев и ещё скученность организаций, которые находятся рядом и вот такой отрицательный результат для клиентов с автомобилем",4,
23,ShaMiL’ Omarov,2023-06-13 17:50:59,"Мало клиентов , поэтому всегда просторно и свободно 😄",5,
24,Lagosta506,2023-07-11 01:41:02,"Вежливые, внимательные сотрудники. Сложно припарковать авто",4,
25,Светлана Козаченко,2022-01-28 12:22:05,"Удобное местоположение отделения. К сожалению в городе сократилось колличество отделений с круглосуточно доступными банкоматами. Хотел бы,чтобы их было больше.",5,
26,ОЛЬГА,2023-04-22 16:39:55,"Чистый, аккуратный офис с отзывчивым персоналом",5,
27,Дария Васильченко,2023-08-29 10:53:23,"Из 8 окон работает 2, что бы забрать посылку отсидеть в очереди час….",2,
28,v_z,2023-02-08 19:43:39,"Один из немногих филиалов, который работает в субботу. Всегда очень много народу, но персонал вежливый",5,
29,Redji,2023-12-22 18:02:21,Медленное обслуживание,4,
30,Дмитрий Войлошников,2022-08-04 04:57:53,Очень отличное место для управления своими финансами. Замечательный персонал.,5,
31,Spider_Games,2023-12-02 18:26:58,Вежливый персонал,5,
32,Анастасия Никитина,2022-02-21 22:43:11,"Неудобный график работы. Если работаешь с 9 до 18, то в организацию можешь попасть только в выходной субботний день. Персонал хороший, мало очередей, при входе стоят круглосуточные банкоматы.",5,
33,Marina Martirosan,2022-01-31 11:35:19,"Вежливый персонал,внимательное отношение к клиентам...всегда найдется решение при поддержке операторов и сотрудников банка! Отлично!",5,
34,Зоя,2022-11-24 18:21:35,"Пришла поменять мелкие купюры на крупные, мне заявили, что это возможно сделать, но с комиссией - 1.5% от суммы😡",2,
35,Dorian_Gray_Moto,2023-02-23 06:56:03,"Надменные менеджеры, навязывание доп услуг и кредитов, маленькая вечно забитая парковка, разбитый асфальт при подъезде",2,
36,Сашенька 369,2024-01-08 16:25:13,Все нормально,5,
37,Габель Владимир,2022-08-05 11:26:57,"Сберу вообще должно быть стыдно, далеко не образцовой банк. Одно говориться другое делается. Москали и в Африке москали.",3,
38,Лана Ч.,2022-05-15 17:00:57,Хорошее отделение. Внимательный и доброжелательный персонал,5,
39,Евгения Бояринова,2022-05-31 19:50:43,"Отношения к клиенту - 5 баллов! 
Удобное расположение филиала + парковка.",5,
40,Инкогнито 7412,2023-03-16 16:33:31,Очень радует круглосуточный банкомат,5,
41,Виктория Лео,2023-01-07 17:48:39,Всегда обращаюсь в это отделение персонал очень отзывчевый,5,
42,Екатерина Левченко,2021-09-17 14:07:36,"Все работники этого филиала, очень отзывчивые и компетентны, всегда помогут объяснят если чтото непонятного!",5,
43,Мариетта Е.,2021-03-26 08:27:39,"Ужасный офис. 19.03.2021г. я пришла оплатить за обучение (реквизиты я предоставила), по ошибке ""специалиста"" мои деньги непонятно где висят, да, деньги вернутся, но такое халатное отношение к своей работе-неприемлемо. Больше ни ногой в этот офис, советую центральному офису ПАО Сбербанк проверить профессиональные компетенции всех сотрудников доп. офиса ПАО Сбербанк по адресу: г. Пятигорск, ул. Февральская, д.54",1,
44,Владислав Студенчук,2021-05-21 10:58:50,"Хорошее отделение банка. Вежливые сотрудники, 6 банкоматов самообслуживания. Касса по приемке всех видов валют, даже монеты и копейки. Воду спрашиваешь, нет кулера у них, но могут вынести в стакане сами они.",4,
45,Аня Романова,2022-11-15 12:37:07,Время ожидание было маленьким . Персонал хороший. Советую,5,
46,Сергей Галкин,2022-12-02 12:29:49,Банк как банк качество работы хорошее вежливые девченки всё зделоют па быстринькаму.,5,
47,Алла Леонтьева,2022-05-15 18:46:37,"Расположение очень удобное, персонал грамотный.",5,
48,серый 2014,2022-09-03 18:10:23,Отличное отделения сбера всегда всё работает,5,
49,Владимир Ш.,2021-09-01 15:05:07,"Есть банкоматы , платить удобно, вежливый персонал, очередь проходит быстро.",5,
50,Ann Korol,2023-08-02 17:01:36,Внимательный персонал,5,
51,Said Ibrahim,2023-10-03 06:10:11,Обычный доп офис,5,
52,Настя Лебедева,2020-08-09 08:32:20,"Обновили банкоматы, вместо двух теперь стоят 6, что может не радовать. Всегда работают. Персонал хороший, есть кулер и кондиционер, ооочень круто в летнее время😃",5,
53,Игорь,2023-01-22 17:55:02,Мне нравится. Деньги банкомат берет. Обратно тоже выдаёт,5,
54,Вальдемар Пофигушкин,2021-12-16 09:05:42,"Удобное расположение,квалификация сотрудников на хорошем уровне",4,
55,Майя,2022-06-08 18:12:14,Удобное расположение. Банкоматы на внесение и выдачу наличных.,5,
56,Светлана Ткачева,2022-01-02 17:02:01,"Компетентные сотрудники, быстро помогли решить мой вопрос. Благодарю.",5,
57,Я Я,2023-10-08 18:47:01,Все нравится,5,
58,Kto_to_26,2022-06-17 06:31:11,"Хорошее отделение. Добрые сотрудники, маленькие очереди.",5,
59,Негуляева,2022-12-30 10:52:10,Обслуживание на отлично,5,
60,Алла,2021-12-05 12:30:44,"Очень хороший, квалифицированный, отзывчивый персонал именно в этом отделении Сбербанка.",5,
61,сафронова ольга,2021-10-06 16:41:29,"Прошу обратить внимание на подъезд к сбербанку,невозможно проехать со стороны бани ,там огромная яма .",5,
62,Екатерина Петровна практикующий психолог,2023-03-02 10:30:57,Помогли разобраться,5,
63,75911 hatagova,2022-02-12 14:44:25,"Все быстро,удобно,вежливый персонал.",5,
64,Симонова Елена,2021-09-17 15:17:20,Всегда очень вежливое и быстрое обслуживание,5,
65,Роман Гарькавой,2022-08-22 12:18:13,"Очередей нет, персонал достойный.",5,
66,Светлана Вшивкова,2023-02-15 17:07:06,Хороший персонал.,5,
67,Никита Тыш,2021-12-24 14:19:07,"Сбербанк как сбербанк, есть банкоматы и другие зеленые штуки",4,
68,Инкогнито 4449,2022-12-29 20:16:43,Вежливый персонал,5,
69,Вячеслав Хамшаов,2022-04-15 16:52:24,"Хороший, внимательный персонал!",5,
70,жуков Александр Николаевич,2022-07-14 16:32:05,Много людей очередь постоянно,1,
71,Карен Петросян,2021-08-20 19:32:50,"Удобное расположение, можно подъехать ко входу.",5,
72,татьяна дмитриенко,2022-10-25 02:33:46,Большие очереди,4,
73,Татьяна,2021-08-29 12:17:44,"очень быстро вежливо 
СПАСИБО",5,
74,Александр Чередайко,2021-04-12 10:34:20,"Удобная парковка, быстрое обслуживание",5,
75,Сергей Богданов,2022-02-15 19:38:03,"Обычное отделение банка, ничего особенного",4,
76,Амаяк Даллакян,2021-05-13 10:32:15,Всегда уважительно и с пониманием относяться к клиентам.,5,
77,Н,2021-08-27 12:34:52,Самое ужасное обслуживание. Такое ощущение пришла к ним домой. Все очень медленно. Не хочется ходить в этот банк.,1,
78,Виктор Ульев,2020-01-23 09:16:46,"Отношение скотское, матери отказали в выдачи пенсии, подпись не понравилась... Сидит пожилой человек, на руках сбер книжка, паспорт РФ - нет подпись не такая!",1,
79,Наталья Митько,2020-11-08 06:37:21,"Грамотные консультанты, быстрое обслуживание.",5,
80,И.......,2021-08-27 15:25:58,Отделение банка находится в удобном месте.,5,
81,Богдан Галузинский,2020-04-11 11:46:54,👍👍👍Прекрасное обслуживание получил новую карту всё что я просил мне подключили. Рекомендую!!!,5,
82,Ками,2021-08-06 09:46:11,"Удобно, хоть один банк в районе.",5,
83,Роман,2019-12-03 15:29:23,"сбербанку ставлю 1!!!
мне повезло, меня обслуживал лучший специалист данного отделения, все счета в сбербанке закрыты!!!",4,
84,Малик,2022-07-15 16:43:59,Всё отлично,5,
85,Рамис и,2021-12-13 13:54:34,Все как и должно быть.,5,
86,Ваграм М.,2022-02-17 16:26:42,👍👍👍👍👍часто захожу,5,
87,Надежда Д.,2019-10-04 17:02:05,"Банк нравится. Находится в шаговой доступности, Сотрудники внимательные, Оценка 5",1,
88,Юлия Н,2020-07-09 12:01:06,Грамотные специалисты быстрое обслуживание,5,
89,Ирина Орлова,2020-11-04 12:57:17,Нормальное обслуживание в данном отделении Сбера.,5,
90,Роман,2022-07-20 18:10:06,Хорошо,5,
91,Людмила,2020-11-24 18:57:30,"Я давний клиент Сбера, нареканий нет.",5,
92,Ирина фурман,2019-12-02 18:57:10,"Вежливые консультанты,быстрое обслуживание",5,
93,Александр Акимов,2020-02-26 03:54:34,Удобное расположение.маленькая парковка.,4,
94,КАМО,2020-07-06 08:18:55,"Молодцы, хорошо работают.",4,
95,Анна,2020-07-31 18:49:33,Неграмотные специалисты,1,
96,Владимир,2019-08-29 19:56:13,"Всегда очередь. Зря закрыли отделение на ""Волне"".",2,
97,Анна Г.,2020-03-27 13:22:55,Отличное обслуживание))),5,
98,Михаил Волков,2020-02-19 13:50:28,Постоянно не работают банкоматы!!!,4,
99,Марси В,2019-12-02 08:46:06,Вообще про эту организацию слышать не хочу,1,
100,мойша,2019-12-01 11:38:42,не всегда работают банкоматы,3,
101,наталья киенко,2020-01-19 13:17:33,Обслуживание нормальное.,4,
102,Александр Д.,2019-11-29 13:33:14,Удобное расположение 👍,5,
103,Дмитрий Шевцов,2021-06-05 08:55:57,Обычный фелиал,4,
104,Алимат А.,2020-03-06 11:01:56,Все отлично!,5,
