,name,date,text,stars,answer
0,Marginal's home,2023-12-14 08:37:05,"Отличное расположение, отличный коллектив. Всегда выполняют все услуги быстро и качественно, всегда можно обратиться за помощью и быть уверенным что помогут. Единственное что очереди немного большие, но это закономерно, ведь и площадь банка гораздо меньше остальных",5,
1,Ольга,2024-03-07 18:46:04,"Вежливые операторы,стараются максимально хорошо помочь в решении вопроса, рассказать всё плюсы работы сбербанка. Быстрое обслуживание. Много сидящих мест для ожидания своей очереди.",5,
2,Angelina Milash,2023-11-16 13:36:28,"Долгая очередь, потому что бегают друг за другом, оформляют ненужную кредитку без согласия, при том что приходишь оформить дебетовую, (бумаг я никаких не подписывала, сразу принесли 2 карты зачем то) кредитку нельзя закрыть сразу, видите ли ""кредитная история испортится"" Только через 3 месяца. Пришли разбираться с этим за меня другие люди и оказывается, что это другая услуга вообще, ничего не испортится по кредитной истории, и вообще я лгу, бумаги подписывала(не было никаких бумаг)",1,
3,Сергей Купцов,2024-04-05 11:09:52,"Грубый персонал . Хотел вернуть найденную карту сказали ""куда хочешь туда и девай"" . Ни здравствуйте не до свидания",2,
4,Иван,2024-01-06 05:49:03,"Та ещё конторка.
Девиз: ""Ничего личного, только бизнес."" Хороший банк для акционеров. 
Вкладчики и заёмщики банка - странные люди.",2,
5,Ruslan,2023-10-01 13:52:51,"Не большое подразделение , чисто опрятно, быстрое обслуживание",5,
6,Клату Анда,2023-06-16 15:14:01,"Нужны были 50 рублёвые купюры, разменяли 6000 без проблем. 
Отличный сервис, приятный персонал.",5,
7,Expert,2024-03-19 11:11:04,"Обычный Сбербанк, как и многие, конкретнее не чего писать",5,
8,Вера Ивановна,2022-06-03 12:58:09,"Всегда внимательные сотрудники, помогут и подскажут при работе с банкоматом.Удачное расположение для нас.",5,
9,Вадим Сулимов,2023-03-24 18:28:37,"Как-то неуютно чувствую себя в этом магазине. Пространство большое, а души в нем нет. Акции с приличными складками бывают редко.",3,
10,Александр Томин,2024-04-14 18:05:11,Персонал отзывчивый.,5,
11,г.Степногорска Отдел физической культуры и спорта,2023-10-08 16:22:28,Очень дружелюбный персонал,5,
12,Яна Цист,2022-05-22 15:46:09,Делал у них первую карту работник все прекрасно и понятно объяснил и карту быстро зделали,5,
13,Веселый Роджер,2021-02-25 07:03:29,"Работают ""пту-шнинцы"" - недоучки. Грубят. Толком сделать ничего не могут, бегают друг за дружкой, консультируются как правильно талон выдать. Бесят просто! (((((",1,
14,Сергей Серебров,2021-04-17 12:53:08,Удобное месторасположение. Консультанты грамотные.,5,
15,Кофе в кафе,2021-07-16 10:14:49,"удобное расположение, быстрое обслуживание",5,
16,Исмоил И.,2022-02-02 13:08:04,Они не могут обслуживать грубо разговоривать,1,
17,Тамара Григорьева,2020-04-01 17:05:27,Банк как банк. Но! Как то консультантов подбирайте лучше. Лезут где не надо. Например при переводе денег через терминал. А когда надо их не дождешся,4,
18,АГАПЕ,2019-08-19 15:01:56,"Мне понравились консультанты, вежливые, обходительные, всегда помогут, посоветуют и объяснят чего непонятно",4,
19,VIM,2019-12-11 12:21:39,В последние годы Сбербанк многое делает в сфере обслуживания клиентов.И надо сказать у него это неплохо получается.,5,
20,Firestarter_72,2019-08-29 15:03:15,Обычное отделение сбербанка России. Около банкоматов всегда очереди. Добавить бы ещё один банкомат и будет вообще здорово.,5,
21,Елена Слинько,2019-07-31 16:25:39,"Брали 2 ипотеки. Грамотные специалисты, знающие свое дело. Широкий спектр услуг. Хорошая реклама.",5,
22,Mirsat M.,2019-11-30 08:21:47,Обслуживание хорошее отзывчивые...Удобно!,5,
23,Надежда Ф.,2019-11-09 16:30:06,"Грамотные консультанты,быстрое обслуживание",5,
24,Лариса Бондаренко,2021-05-08 07:18:25,Быстрое обслуживание,5,
25,Лена Ведерникова,2019-08-21 13:33:00,"Хорошее обслуживание,но довольно долгое",4,
26,Серж Горелый,2018-03-12 02:06:12,Хорошее обслуживание в банке. Хорошие специалисты ничего плохого сказать не могу! Выполнять свою работу достойно!!! Особенно девушка сидит за третьим и вторым окном,5,
27,Наталья Викторовна,2020-02-05 05:47:48,Для чего такое огромное здание?,1,
28,Рома,2020-03-24 11:53:18,Очереди к банкоматам,3,
29,Елена К.,2019-08-18 10:01:48,Быстрое обслуживание,5,
30,IZ,2019-08-20 05:27:08,Вежливый персонал,5,
31,Анна,2019-08-11 14:19:13,Мой любимый банк.,5,
32,Людмила Варицкая,2019-10-27 06:48:51,Удобное место,5,
