,name,date,text,stars,answer
0,Татьяна Мищенко,2023-11-18 15:32:36,"быстрое обслуживание, вежливые сотрудники, чисто, удобное расположение отделения",5,
1,Анонимный отзыв,2023-05-29 12:48:50,"Очень хорошее отделение банка. К кому бы не обратилась за помощью всего помогут,подскажут,ответят. Мне очень нравится посещать это отделение. Был опыт с банком Втб там ужасно грубо относятся к клиентам. Говорят мы вам нечего не должны помогать,доходите своиме мозгами.",5,
2,Анна Метликина,2023-12-06 16:12:47,Удобное место расположения.В зале душно.Медленное обслуживание,5,
3,Александр Лупанов,2023-09-04 17:09:20,"Второе, по размеру, отделение Сбербанка в нашем городе. К персоналу претензий нет, работают хорошо. В отдельном помещении установлены 3 банкомата.",5,
4,Шавкат Ахмеджанов,2023-05-22 23:52:19,"Ночью не попадёшь к банкомвту, т.к. закрыты двери на электрозамок и считыватель на двери не работатет😡🤬
Кто-нибудь из руководителей вообще смотрит за своим отделением?",3,
5,Людмила Мошкина,2023-02-20 12:17:52,"Отличный банк, вежливый персонал, и что не мало важно находится в шаговой доступности от дома.",5,
6,даша страшникова,2021-09-02 17:13:35,"Посещаю этот офис часто. Т. К он рядом с домом, быстрое обслуживание, опытный консультант который всегда поможет. Единственный минус, что отделение работает до 17:15",4,
7,альфия хуснутдинова,2023-10-15 14:33:39,Хороший умный банк. Делают все для людей.,5,
8,Святозар Багратионович,2023-03-10 14:42:13,"Постоянные очереди, сотрудники выпаривают дополнительные услуги и тратят время других клиентов.",3,
9,Юлия ревцова,2022-11-02 15:47:55,"Как не зайду, всегда работает только один банкомат, в другом то денег нет, то его ремонтируют, то ещё какая-то проблема.",3,
10,Лина Л.,2021-06-28 12:00:30,"Два раза обращалась в это отделение, больше туда вообще ходить не хочется))))первый раз -когда нужно было разменять крупную купюру на мелкие , отстояла очередь в кассу, когда дошла моя очередь то я узнала что они деньги не меняют и заказать на следующий день нельзя, инкассации завтра не будет)))) обращаюсь к руководству - где таких малограмотных и некомпетентных сотрудников набрали? вы прежде чем к людям их выпускать- обучите сначала))))надо было получить карту ребёнку , при подаче заявления на карту сотрудница сказала одну сумму за обслуживания,при получении карты оказалось другие условия обслуживания и другая сумма))) некомпетентность во всех её проявлениях ,не знают, какие продукты предлагают👎",1,
11,misszirtautene,2022-12-10 12:48:56,"Очень всё хорошо.всегда решаются ьые проблемы,хоть с картами хоть со вкладам,хоть с телефоном.",5,
12,Евгений Затонский,2024-03-17 16:26:20,"Был, все норм",5,
13,Дмитрий Шарипов,2022-01-31 10:34:24,"Работают профи,все проблемы решают быстро и качественно... объясняют понятным языком...",5,
14,Алмаз Закиров,2023-10-16 10:54:40,Банкомат круглосуточно,5,
15,сергей к.с.ю.,2023-04-30 13:07:24,Толком не работают банкоматы.очень часто и это печально,2,
16,Александр старина,2021-08-24 14:47:38,Как можно оценивать банк который обирает своих же клиентов на каждой операции.Давно отказался от их услуг и вам советую.Единсвенное что могут организовать как для клиента бесплатные похороны.,1,
17,Анатолий Галиев,2023-01-16 02:31:41,Удобно. Быстро. Качественно.,5,
18,Иван Ермошкин,2023-04-20 16:02:58,Бывает часто не работают банкоматы,2,
19,Лëха Донцов,2023-06-06 14:25:55,Обычный хороший Сбербанк,5,
20,Оксана М,2022-01-22 14:38:38,"Вежливый и внимательный персонал, время ожидания в очереди небольшой.",5,
21,Алексей Баранов,2021-12-11 09:36:57,Всё супер. Удобно. Быстро. Банкоматы не понятные - где внести деньги? Где нет?,5,
22,Константин,2022-02-12 16:06:29,Стандартное отделение банка со стандартной очередью. Без неё никуда. Работники профессиональны.,4,
23,Эдуард Смородин,2020-01-09 07:11:52,Удобный! хорошое обслуживание! девочки молодцы! Всё объяснят. Очень приятно заходить и поэтому там всегда много людей...,5,
24,Демьян,2023-06-17 16:23:14,Одэкватные сотрудники,5,
25,Viktor Ilin,2022-06-20 05:46:08,Постоянно в банкоматах нет денег. Получить невозможно. Плохое отделение.,1,
26,альфия имаева,2020-08-16 10:17:09,"Быстрое грамотное дружелюбное обслуживания ,как не зайду в этот Банк в течение 5-10 минут меня примут и объяснят всё понятным для меня языком , можно поставить 10звезд",5,
27,Алексей Есенин,2021-09-18 01:35:10,"Наверное единственный адрес, по которому обслужат качественно с любым вопросом.",5,
28,Наташа,2020-07-14 15:25:13,Удобный! хорошее обслуживание! девочки молодцы! Всё объяснят. Но очень много навязывают не нужного.,4,
29,Александр Викторович,2022-06-03 04:46:41,"Постоянно очередь, к банкомату не пробьёшься, помещение маленькое..",5,
