,name,date,text,stars,answer
0,"Печати5 Ухта, Сосногорск",2024-02-06 22:30:55,"Отличный сервис и профессионализм сотрудников Сбербанка на ул. Зои Космодемьянской, 2А! Быстрое обслуживание, помощь в любых вопросах и дружелюбный настрой специалистов сделали мое посещение этого отделения максимально комфортным. Рекомендую всем!",5,
1,Андрей Ка.,2024-02-08 17:31:43,"Пока, уже не один год являюсь клиентом, никаких проблем не возникало, грубости или пренебрежения со стороны персонала не было. Всегда получал то, за чем обращался.",5,
2,Андрей П,2023-01-23 15:56:18,"В последнее время совсем исчезла очередь. Поэтому обслуживание быстро и по делу. Персонал вежлив, порой даже слишком, и это очень приятно! Время ожидания-0 минут)",5,
3,Евгений Горев,2022-07-31 18:06:05,"В целом, все вроде неплохо. Был недавно в данном заведении. Взял талон, как у них заведено. Я понимаю, что для удобства, чтоб не создавать очередь. При мне было всего был всего один клиент, но прождал более пятнадцати минут.",3,
4,Александр Л.,2022-11-14 17:28:44,"Все не плохо но хотелось бы поживее. Программа электронной очереди не доработана.
Вроде и сотрудник свободен и людей не принимает т.к. он(она) сегодня на выдаче карт.",4,
5,Татьяна Рудая,2022-07-04 19:20:02,"К сожалению с каждым годом всё хуже и хуже. Особенно режим работы! Вот как попасть в отделение, если у него режим работы с 8.30 до 17.00. Правильно, только в субботу, и то если дождёшься очереди. Сам персонал вроде грамотный, но работают как роботы.",3,
6,НАТАЛЬЯ ДЮМИНА,2023-12-04 16:41:52,Молодцы лучше всех,5,
7,Андрей Чапала,2024-01-24 20:48:25,Нормальное отделение банка,5,
8,Денис Батькович,2024-02-25 16:29:25,Отличное обслуживание.,5,
9,Леонид Пахомов,2022-11-26 20:16:50,"Всё норм.Персонал обходительный,внимательный,доброжелательный.",4,
10,татьяна владимировна,2024-01-13 17:58:22,Хорошее обслуживание,5,
11,ua9xbj Глущенко,2023-01-06 06:01:15,"Общительные работники, всегда можно получить исчерпывающую информацию.",5,
12,Катерина Афанасьева,2022-05-09 07:07:48,Быстрое и качественное обслуживание. Персонал вежливый и дружелюбный),5,
13,Максим Соловьёв,2022-04-26 20:07:55,"Вежливый персонал, даже если что-то не получается самому сделать, всегда есть работник банка, который поможет.",5,
14,Инкогнито 9890,2023-06-05 17:30:18,Приятный персонал. Вежливый,5,
15,Олег А.,2023-05-09 19:05:10,"Отзывчивые сотрудники, был доволен",5,
16,Игорь,2023-07-23 12:52:43,Общение с персоналом,5,
17,"Фотосалон ""ЮМА"" ОЛЬГА",2021-09-14 12:46:35,Быстрое и качественное обслуживание. При любом вопросе быстрое реагирование и помощь менеджеров.,5,
18,Мистер Макс,2022-01-24 07:23:04,Вежливый персонал. Оформлял кредит. Всё подробно объясняют по процентам и т. Д.,5,
19,Сергей Егоркин,2021-11-28 18:55:08,Все сотрудники очень вежливые и отзывчивые. Молодцы.,5,
20,Николай Тиняев,2020-01-15 16:54:22,"Всё хорошо, в этом заведении, обслуживают приветливо и быстро как только возможно, но... далеко не всё они могут, приходится по некоторым важным вопросам ехать в Ухту на Ленина, а остальное можно и самостоятельно сделать через Сбербанк-онлайн.",4,
21,Олег,2021-10-01 14:33:26,"В принципе как и все отделения сбера, отсутствие парковочных мест для авто это Минус",1,
22,Анна Белоусова,2020-06-21 18:02:41,"Прекрасный офис, сотрудники вежливые, всегда помогут, специалисты высокого уровня, знают свою работу👍",5,
23,Дмитрий Чупров,2021-09-15 06:59:28,Очереди бывают редко. На входе нужно взять талон. Прием практически сразу.,5,
24,Радомир,2020-05-13 07:40:30,"Извиняюсь за оценку перед работниками данного отделения, лично к ним претензий нет, все претензии и оценка конкретной организации, а именно Сбербанк.
А работникам отделения ⭐⭐⭐⭐⭐.",1,
25,Сергей Субботин,2019-11-23 07:01:43,"Потому, что в нашем городе больше нет Сбербанка, где можно что то узнать именно о Сбербанке, о его новых программах реально, а не то, что нам рекламируют в интернете.",4,
26,павел пост,2022-07-08 16:25:14,Режим работы палец вниз,3,
27,Ольга Коваленко,2021-07-15 17:19:29,Грамотные и отзывчивые консультанты,5,
28,Лариса П.,2019-12-07 12:15:15,"Быстрое обслуживание по электронной очереди, вежливый персонал.",5,
29,Засоня,2020-09-03 21:21:55,"Быстрое обслуживание, практически никогда нет очередей",5,
30,Я,2021-10-05 18:00:34,Маленький филиал,4,
31,Татьяна Цветочек,2019-11-09 15:23:27,"Все нормально, очередь всегда как обычно, столько касс, а работают три четыре.",5,
32,Сергей Запанков,2021-10-04 12:28:15,Нормально..,5,
33,Евгений,2020-10-16 07:08:54,Очереди и жарко,2,
34,Вадим,2019-09-28 06:20:48,Быстрое обслуливание,5,
35,Александр Лысенко,2019-08-11 05:13:20,Быстро снять деньги,4,
36,Андрей Дмитриенко,2019-10-01 16:28:03,Хороший персонал.,5,
37,SergR23,2019-08-29 11:12:42,А куда более ходить,4,
38,Елена С.,2019-12-03 07:32:56,Всё отлично,5,
39,Иван С.,2019-12-25 17:11:56,Все хорошо,3,
