,name,date,text,stars,answer
0,эльвира скосырская,2024-02-08 14:18:24,"Пенсионеры не в состоянии подойти к Сберу,т.к все сделано как во вред здоровью пожилых людей,снег не убирается.во всех уважающих себя городах,на ступеньках и на крыльце расстелено спец.покрытие..У нас же в Шадринске на всем экономят..(на безопасности и комфорте людей)Очень большое кол-во сокращенно людей,еще несколько лет назад можно было подойти к консультанти и тебе без проблем помогут решить вопрос с тем же банкоматом. Да и много чего,в банке сами все -это знают..Не исправляют ошибки,значит не хотят",3,
1,Марина Зайкова,2024-02-17 03:25:34,"Думаю каждый житель нашего городка побывал в этом Сбербанке, у всех свои проблемы и не всегда они решаются, как бы нам хотелось, но хочу сказать, что всегда выслушаю и помогут, за что огромное человеческое спасибо.",5,
2,Алексей Ногин,2024-01-06 20:31:45,Хорошее помещение. Приятный внешний вид. Вежливый персонал. Из минусов трудно припарковаться. Обычно все занято на парковке,4,
3,наташа наташа,2023-06-15 15:43:21,"Отличный офис сбербанка, вежливые сотрудники, всегда помогут в любой ситуации. В помещении всегда чистота и порядок.
Терминалы работают круглосуточно, что очень удобно.",5,
4,анастасия колпакова,2024-03-13 12:32:41,"Хорошое обслуживание, быстро ,просторно в помещении, иногда нет консультантов свободных",4,
5,КУПАЛЬЦЕВА ТАТЬЯНА,2023-05-24 11:10:41,"Обслуживание в Сбербанке грамотное, быстрое. Персонал всегда помогут, подскажут. Отношение к клиентам вежливое, предупредительное. Время ожидания сравнительно недолгое. Рекомендую",5,
6,Татьяна Каневская,2023-09-20 19:01:31,"Сбер конечно опустился в моих глазах. При просьбе помочь в онлайн, все девочки отказали, да ещё с таким надменным видом, как будь то они тут богини. Очень расстроил Сбер. Нужно уходить от этого банка, в других тебя прям оближут, что очень приятно. А Сбер возомнил из себя....",3,
7,Оксана Черемных,2024-03-17 15:27:28,"Внимательные сотрудники всегда все объяснят, подскажут. Спасибо .",5,
8,Анастасия Сурмятова,2023-03-01 14:26:01,"Обслуживание быстрое, персонал очень вежливый, отношения к клиентам замечательное, время ожидания всегда по разному, можно придти и за 10 минут все сделать, иногда можно и пол дня просидеть",5,
9,600638 Сергеева,2023-04-14 20:00:01,"Менеджеру по обслуживанию Игнатовой Вере не хватает приветливости, вежливости. Иногда у них подвисают программы, чаще всего сотрудники с этим ничего не могут поделать, бегают по другим сотрудникам за помощью разобраться с программами. Следовательно, обслуживание может быть ооооочень долгим!",3,
10,Екатерина Агишева,2022-11-24 07:28:20,"Часто бываю в центральном сбербанке. Зачастую приходя в это заведение сталкиваешься с огромными очередями. Персонал всегда деликатный и грамотный. Особенно радуют консультанты, которые встречают посетителей возле инфомата.",4,
11,Наталья яоськина,2023-03-18 02:48:31,"Обслуживание на хорошем уровне,профессионально,быстро и вежливо.Осталось хорошее впечатление от доброго отношения к клиентам,благодарю.",4,
12,nadine6309,2023-05-15 05:45:12,"Мне нравится, как сотрудники Сбера здесь работают.
Всегда приветливые, вежливые, и компетентные, во всяком случае, я с иным не сталкивалась.",5,
13,Александр Антропов,2023-01-16 16:36:04,"Банкиры молодцы. Построили здание в центре города. Оснастили его всеми современными услугами и сервисами. А после еще и ужались, что в здание кафе и стоматология вошли",5,
14,наталья сычева,2022-08-03 17:12:27,"Есть удобные диванчики,на которых можно посидеть в ожидании своей очереди. Чисто. Персонал компетентный, вежливый. Но очень долгое обслуживание.",3,
15,Давран Рузматов,2024-04-13 15:18:57,Обслуживание - персонал качества работы,5,
16,Екатерина М.,2021-12-07 20:06:51,"Здравствуйте, очень жаль, но не могу поставить большую оценку. 16 августа заключила ипотечный договор. В период, пока денежные средства не перечислили продавцу, у объекта недвижимости были обнаружены скрытые недостатки, существенно влияющие как на цену, так и на иные свойства недвижимости. Мы предложили продавцу расторгнуть договор, но согласия не последовало. Обратились к независимому эксперту в области архитектуры и строительства, который в экспертизе, указал, что дом не пригоден к проживанию, после этого продавцы, пригласив другого эксперта, и поняв, что это действительно так, согласились заключить с нами соглашение о расторжении Договора Купли Продажи без суда. Имущество не было переписано на нас так как мы подали соответвутсвующее заявление в МФЦ. 30 ноября мы обратились в отделение Сбербанка, где заключали договор, с целью, закрыть невостребованную ипотеку путём перевода средств с СБР на счет ипотеки... Но... Нам ответили, что такой случай, в из практике впервые, и не знают, что делать. Я все понимаю, но я обратилась с этим вопросом 30 ноября, а сегодня 9 декабря, и ипотека все еще числится на мне, каждый день капают проценты, документы у меня все на руках. Почему я и мой кошелек должны страдать из-за некомпетентности ваших сотрудников? Почему я должна гуглить, и узнавать, что в таких случаях делается? Обучайте, пожалуйста, своих работников не только рутинным, но, и всевозможным редким случаям.",2,
17,- -,2024-02-01 13:05:36,"Одним словом центральный, только очереди постоянно",5,
18,Галина Чистополова,2022-06-13 14:52:11,"Ой совсем на днях там была.Мне очень понравилось,как мння обслужили.Жаль фамилию оператора не запомнила.2 часа со мной провела,все мне обьясняла.Я так довольна была.Везде бы такое обслуживание было.Огромное им спасибо за их терпение.",5,
19,chmir.AN1986,2023-03-26 13:53:06,"Крайне мало компетентных сотрудников. Море лишних манипуляций, ни какой резульативности. Нужно учиться чтобы работать в банке.",2,
20,Alexandra Krasilnikova,2022-02-21 16:07:52,"Хороший и внимательный персонал, всегда чисто, сотрудники внимательны ко всем клиентам, а особенно к клиентам с ""трудностями"" в самообслуживании.",5,
21,Юрий Суворов,2022-04-16 14:39:41,"Не могу поставить высокую оценку потому что, обслуживание может быть и быстрее. А так в целом все современно, но немного отстают от других городов. А ведь сеть одна.",4,
22,Ольга Худякова,2022-01-17 01:07:56,"Время обслуживания зависит от количества посетителей. Персонал квалифицированный и вежливый. Условия кредита всегда ""прозрачны"". Я доверяю только Сбербанку",5,
23,Таня Седач,2023-05-07 14:44:08,"Классно,круто,удобно) Нет никаких сложностей🤭",5,
24,Маргарита перфильева,2023-04-28 17:51:48,"Прекрасный персонал, всегда можно получить нужную информацию.",5,
25,Людмила Б.,2022-09-12 17:32:28,"Просторный , уютный много света .Персонал вежливый , грамотный .",5,
26,Танечка,2023-01-12 15:50:04,"Хорошее обслуживание, специализированный персонал, время ожидания не долгое.",5,
27,Рудольф Ипатов,2024-03-02 04:37:05,Хорошо обсдуживание✅,5,
28,Инкогнито 1691,2023-12-01 14:54:11,Отношение к клиентам,5,
29,Константин Сорокин,2023-12-11 15:48:16,Боль парковка,4,
30,Хатаи Гулиев,2022-09-21 03:03:11,Удобное местоположение центрального офиса и быстрое обслуживание,5,
31,Максуд Воронцов,2022-02-19 14:58:15,"Меня все в этом банке устраивает:и персонал , и обслуживание на уровне. По какому либо вопросу бы не обращался, про всё расскажут и помогут, ставлю пять.",5,
32,Сергей,2021-10-05 17:08:01,Банк в удобном месте. Доброжелательные сотрудники. Банкоматы всегда в рабочем состоянии. В банке чисто и светло.,5,
33,Татьяна С,2021-07-03 07:20:28,"Здание большое, светлое, просторное, можно присесть и подождать на уютных скамейечках. Персонал вежливый, всегда помогут.",5,
34,Игорь А.,2023-05-15 17:17:11,Не плохой но только работает как почта России все долго ...,5,
35,Никому Никогда,2021-07-18 13:15:54,"Как обычно это и бывает, плохо образованные клерки стали на ходу выдумывать разные свои ""хотелки"" и слабо реагировали на аргументы. ""Специалисты"" по своему интерпретировали нотариальные документы и локальные документы своего же Банка. В общем и целом ничего нового...",2,
36,Елена Тимошенко,2021-07-04 11:08:33,"Небо и земля с тем банком , что был раньше ! Персонал ужасный , отношение к людям высокомерное ! Технички - и те туда же , стоишь у банкомата и тебе по ногам грязной тряпкой прилетает , ей тут мыть надо , а мы видеть ли к банкомату пришли в это время … Да и кассиры не далеко ушли, хамки !!!",2,
37,Наталия,2021-08-20 17:56:45,Чисто и прохладно - учтивости консультанты - стали наверное работать быстрее - очередей стало меньше.,5,
38,Лариса Сатаева,2023-10-08 16:32:07,Работают люди своего дела.,5,
39,Сергей Жалов,2021-02-28 14:20:33,"Мало место на парковке, а так удобнее расположен, персонал очень квалифицированный и доброжелательный всегда можешь рассчитывать на них!",5,
40,Геннадий А.,2022-04-03 22:46:16,"Оценил на 4.
В целом стандартное отделение банка,практически всегда очередь.Банкоматы медленные-подвисают.Персонал работу свою выполняет-с учётом загруженности сотрудников ( роботизировано )",4,
41,Алёна Овчаренко,2021-08-19 05:04:32,"Красивое здание, люди работают вежливые всегда помогут, жалко только с коляской не зайти и верхние этажи сдают в аренду.",5,
42,Ганеева Виолетта,2023-12-05 04:20:53,Все хорошо,4,
43,Андрей Птицын,2020-11-02 14:39:40,"Дружелюбный и профессиональный коллектив, вопрос был решен за короткое время. Немного раздражает толчея, ощущение будто ты на вокзале, но видимо сказывается центр города и статус центрального офиса.",5,
44,Дмитрий кобяков,2022-01-13 14:24:53,Прекрасный банк персонал вежлив и всегда решают вопросы быстро!,5,
45,Ирина Яговитина,2022-08-27 17:31:01,Ждать недолго. Персонал вежливый. Подскажут.,5,
46,GUNSTARIK,2021-05-08 08:10:11,"Очень приятный,отзывчивый и компетентный персонал.
Выручали много раз!
Молодцы!",5,
47,Вадим Кузнецов,2023-09-08 19:30:13,Хороший персонал.,5,
48,Андреевич,2021-05-13 03:02:39,"Хороший банк, консультанты помогут с вопросом , обслуживание по разному, когда быстро,, когда придется подождать",5,
49,Владислав Кузнецов,2021-03-28 07:35:28,"Вежливые компетентные и отзывчивые сотрудники, внутри все эргономично организовано",5,
50,Владимир Раду,2022-06-02 15:42:51,Удобное расположение. В банкоматах нет очередей.,5,
51,Умар Мухаммад,2022-11-01 14:28:51,Без твоего разрешения могут деньги снять......,1,
52,Сергей корякин,2022-07-25 15:26:16,"Отличное обслуживание , вежливое )",5,
53,Елизавета Большакова,2020-02-16 13:39:47,"Очень добрые работники, которые легко отвечают на любые вопросы даже, если ты его задал не очень понятно.
Принимают быстро. 
Обустроен детский уголок и там таки очень мило, братья и сестры не мешают решать важные вопросы с банком.",5,
54,Антон Баум,2021-09-15 14:31:34,"Все понравилось. Единственный момент это время ожидания, бывает от 30 минут до 1 часа.",4,
55,Владислав Калачёв,2023-05-28 14:01:12,Всё отлично!,5,
56,мария,2023-12-29 19:29:35,Часто очереди,4,
57,Аркадий Х.,2022-01-18 17:11:31,Плохое отношение к клиентам не в чем не помогают о особенно пенсионерам,3,
58,Николай Михайлович Галущинский,2022-11-26 12:08:56,"Это банк, а сущее недоразумение",1,
59,Аня Федосеева,2023-02-01 16:12:44,Вечно огромные очереди.,3,
60,Лёха,2020-01-18 07:12:43,Ну во первых всегда сдесь помогут и растолкуют всегда опрятные молодые девчонки кто нибудь из вас сможет ли это не заметить а то что там насчет банковских карт и операций дак в этом виновато правительство,5,
61,юлия бердникова,2021-11-13 14:04:54,"Грамотные специалисты, всё отлично !!!",5,
62,Виктор Саунин,2023-09-06 14:16:28,Дорого,5,
63,Ирина,2019-09-09 08:10:13,"Всегда отзывчивый персоанал, все вопросы решают быстро, но одно но, не всегда в самом банке есть те или иные реквизиты оплаты, персонал не знает куда оплачивать, например гос. пошлину за установку газа, налоги на район или город.",5,
64,Вячеслав Засыпкин,2021-06-19 10:09:40,Банкомат открыты круглосуточно есть где припарковать автомобилиь,5,
65,Светлана Овчинникова,2021-08-04 12:25:25,Хорошее обслуживание. Быстоое решение возникающих проблем.,5,
66,Вадим Пермяков,2021-09-02 15:43:32,Много банкоматов! Хорошо! Но все таки это Сбер!,3,
67,Наталия Костенецкая,2019-09-26 14:28:27,"Очень современный офис,чисто,небольшие очереди,всегда своевременно придут на помощь и доступно обьяснят",5,
68,Артём Тамаев,2023-07-06 15:42:48,Четка,5,
69,Ольга Путешественница,2022-08-06 07:22:54,"Большой банк, шум, суматоха",5,
70,Елена Тимошенко,2020-08-17 12:56:09,"Самый худший из всех банков которые посещала . Персонал высокомерный , разговаривают очень натянуто , ничего не могут объяснить простому человеку .",1,
71,Вадим Тамаев,2019-11-11 09:49:22,"Хорошее место! Сам являюсь клиентом банка!
Персонал вежливый, приветливый! Всегда вс!ё достойно обьясняют",5,
72,Людмила Казакова,2019-09-27 13:43:27,"Банк очень удобный, можно заплатить, получить все спросить.Обслуга хорошая, вежливая, все расскажут и покажут.",5,
73,Юлия Кулагина,2023-03-04 16:24:05,Все отлично,5,
74,Алексей Лушников,2022-12-18 03:53:02,Банк как банк,5,
75,валентина волосникова,2022-05-12 15:59:42,Все очень отлично,5,
76,Иван,2022-06-10 15:11:08,Отличное отделение,5,
