,name,date,text,stars,answer
0,Тёма Тимкин,2024-01-22 19:01:57,"Обслуживание на высшем уровне
Персонал вежливый и доброжелательный, помогают во всём, заботятся о клиентах, отзывчивый
Подход к клиентам индивидуальный
Офис расположен в удобном месте
Само помещение офиса всегда чистое, красивое, очень приятно находится внутри
Пользовался услугами данного офиса неоднократно и ни разу не пожалел",5,
1,Галина Брянцева,2024-01-06 13:19:19,"Персонал вежливый , всегда помогут и подскажут в любой ситуации, стараются обслужить быстро и чётко.",5,
2,Ирина Карева,2023-11-01 10:38:38,"Очень уютное отделение , грамотные сотрудники , всегда решат любой вопрос 👍",5,
3,Виктория С.,2022-10-16 04:47:35,"Хорошее отделение. Удобно расположено для всех жителей районов Истомкино и Доможирово. Вежливый персонал. Очереди не очень длинные, как попадешь, зависит от времени суток, и наплыва людей. Имеется три банкомата, и обмен валют.",5,
4,Antony Z.,2023-08-27 18:22:11,"Один из любимых офисов сбербанка. Быстро, без очередей. Персонал молодой. Все что нужно подскажут, расскажут. Валюту поменяли за 10 минут.",5,
5,Stasia,2023-02-05 17:44:11,"Удобное расположение. Есть парковка для автомобилей. Посещала отделение в будни, ожидала не более 5 минут. Консультант быстро сориентировал по интересующей информации.",5,
6,Эльвира Эльвира,2022-12-13 20:15:15,"Удобное расположение. Вежливые сотрудники. Есть постомат, удобно забирать заказы. Круглосуточно банкомат. Но есть и неудобства для клиентов : данное отделение работает до 18 часов, а суббота и воскресенье выходной.",5,
7,Александра Якубова,2023-09-06 13:21:46,"Хороший Сбербанк 👍🏼👍🏼👍🏼
Банкоматы работают исправно, очереди очень редко. Близко к дому. Хороший персонал .",5,
8,Ольга Хабарова,2024-03-23 15:03:15,"Очень хорошие сотрудники,всегда помогут.",5,
9,Люлмила Качурина,2021-12-30 15:04:17,"Удобный график работы, вежливый персонал,быстрое обслуживание, девочки всегда помогают по любому вопросу, всегда чисто, уютная обстановка, время ожидания проходит быстро",5,
10,Исмаил Курбонзода,2024-02-16 12:01:43,Обслуживание 5 + молодцы так держать 👌,5,
11,Ольга Щеголева,2022-05-17 06:35:56,"Ужасное отделение! Меня угораздило ошибочно туда оформить посылку. Не увидела, что они работают только по будням, когда я работаю. Отправила маму пенсионного возраста с моим паспортом, трек номером, сообщила код с телефона. И эти твари не отдали мою оплаченную посылку! Моя мама приехала с электроуглей! Что за дурь такая! Естественно, в будни с 9 до 18 я не мону к ним приехать, посылка уехала. Ужас! Везде отдают по паспорту. Чтобы я ещё хоть раз связалась со сберлогистикой! Никому не советую.",1,
12,Анастасия,2023-07-09 17:38:16,"Очень симпатичный молодой человек выдал мне карту за 5 минут не рассказал обо всём, о чем только можно 🫶🏻",5,
13,Константин Наместников,2024-03-17 15:04:20,"Отличный банк.Приветливый персонал.
Обратился в данное отделение,мою проблему решил сам руководитель!
Советую это отделение👍",5,
14,Зебинисо Файзуллаева,2024-01-22 14:38:05,Можно долго не сидеть тебе подойдут и помогут,5,
15,Александр П.,2023-09-18 06:10:48,Всё хорошо спасибо за быстрое обслуживание,5,
16,Матвей,2024-04-24 13:49:36,Хорошие банкоматы и сотрудники,5,
17,Александр Поликанов,2024-03-04 20:29:15,Никогда нет очередей...,5,
18,Лилу Я,2023-06-22 13:51:48,"Два специалиста на весь офис и два человека в очереди , ожидание бесконечное",1,
19,Леха,2023-10-12 17:03:29,Всегда работает отлично,5,
20,Андрон К,2021-08-15 10:22:23,"Отделение после ремонта, эргономика помещения удобная, много места для ожидания. Персонал вежливый, обслуживание без задержек",4,
21,Мария Балашова,2021-09-22 06:10:30,"Читаю пишут о вежливом персонале. Может уже и не работает данный сотрудник, но впечатление от оставил двоякое. Отделение как отделение, все одинаковые, ничем не отличаются от себе подобных . Лишь сотрудниками. Видимо в тот день ретроградный Меркурий был … у неё!!",3,
22,Елена Е,2022-10-28 18:37:48,Удобное расположение. Внимательные сотрудники.,5,
23,Георгий Янкин,2021-09-20 07:38:28,"Замечательные специалисты,помогли быстро оформить все документы и оплатить все что нужно было,очереди быстро проходят, нет длительного ожидания как в других банках.",5,
24,Ри Та,2019-12-21 11:00:59,Оформляли документы на ипотеку.В назначенный час зашли в кабинет.менеджер Наталья быстро.четко.по делу все рассказала.обьяснила.без задержек оформила документы обьяснила дальнейшие действия.Внизу операционист помогла быстро и четко завершить операцию.Понравилось.что без лишней суеты и профессионально провели сделку.Благодарность девочкам.И рекомендую этот банк.,5,
25,Максим Шевченко,2023-10-07 16:26:55,Люди знают толк своей работы,5,
26,Татьяна Тулякова,2021-11-07 15:52:48,Вежливый персонал.Чистое и светлое помещение.Нет очереди. Рядом с домом.,5,
27,Юрий Демидов,2022-10-28 16:57:14,Здесь есть хорошие специалисты,4,
28,Omurzak b.,2023-03-26 06:28:43,Очень помогли мне они,5,
29,Ольга Малова,2019-12-24 13:04:27,"Отличный коллектив. Работают быстро, слаженно, доброжелательно помогают всем, особенно такому надоедливому клиенту, как я",4,
30,Наталия Монина,2022-01-26 06:07:26,Всегда внимательные и грамотные сотрудники.,5,
31,Сергей Светный,2022-12-01 13:05:24,По воскресеньям не работает.,4,
