,name,date,text,stars,answer
0,Юлия К,2024-03-13 22:36:48,"Выражаю свою благодарность специалисту,которая работает в справочном отделе)Всегда готова помочь и очень доброжелательна)Благодаря таким сотрудникам приятно посещать банк).Хотя и другой персонал вызывает те же чувства)А также нравится приятная цветовая гамма в зале ожидания и то,что есть уголок для детей,чтоб порисовали пока заняты родители)",5,
1,Луконина Ирина,2023-07-27 05:17:12,"Руководитель Татьяна Николаевна со своим дружным коллективом всегда поможет и проконсультирует клиента. Весь персонал-высококвалифицированные и отзывчивые люди. Всем советую обращаться только в этот офис- останетесь довольны! Очень Рекомендую этот офис!!! Обслуживаюсь здесь с 2003 года, спасибо большое ещё Ольге Смыковой, Ярославе Беловой Оксане Викторовне, да и всем девушкам консультантам, обслуживание всегда на высоте",5,
2,Татьяна А.,2023-11-28 06:33:14,"Отличное и комфортное расположение офиса!Все сотрудники внимательные ,доброжелательные,всегда помогут решить любой вопрос!",5,
3,Татьяна Сафарова,2023-10-23 17:41:50,"Консультанты очень подробно и грамотно разьяснили все интересующие моменты, вежливые, без навязывания продуктов кампании, рекомендую 💯, окно √3, отдельное спасибо, приятно было пообщаться",5,
4,Галина,2024-04-01 10:01:32,"Рядом, удобный график. Но обслуживание зачастую зависит от настроения персонала. Нового. Старые сотрудники всегда терпеливы и доброжелательны.",4,
5,Заира К.,2024-02-24 11:59:51,"Обслуживают достаточно быстро, на все возникающие вопросы дают чёткие ответы. Каждый раз хожу в этот филиал и всегда получала качественные консультации и обслуживание.",5,
6,Алёна Симонова,2024-01-13 12:01:36,"Обслуживание на высоте, но после того, как закрыли второе отделение Сбербанка в Юбилейном, всегда очень много народа((( А так как в основном, это люди пожилые, очередь, бывает, движется, очень медленно (",3,
7,Софья Владимирова,2023-03-28 14:54:38,"Очень нравится этот сбербанк. Удобное местоположение, приятные консультанты. Часто попадаю в окно 1, Держицкая Юлия, консультант от бога!!! Приятной внешности, граммотный специалист, всегда в хорошем настроении, общительна, любезна. Я всегда довольна результом своего вопроса и ухожу в позитивном настроении!!! Побольше бы таких специалистов)",5,
8,владимир мазаев,2023-08-30 17:48:59,"Персонал вежливый, предупредительный, всегда могут подсказать и помочь. Организована электронная очередь. Для детей организован детский уголок. В Сбербанке установлены банкоматы, которые работают круглосуточно.",5,
9,Даниил Биткер,2023-06-08 11:13:49,Самый лучший филиал в Саратове. Руководитель Татьяна Николаевна со своим дружным коллективом всегда поможет и проконсультирует клиента. Весь персонал-высококвалифицированные и отзывчивые люди. Все советую обращаться только в этот офис- останетесь довольны! Рекомендую!!!,5,
10,182960 Даниличева,2023-10-12 02:38:13,"Сбербанк единственный в этом районе, поэтому все хорошо, обслуживание,внимательные сотрудники,расположение удачное, без очередей огромных,все быстро и качественно",5,
11,Станислав Жижин,2024-02-02 14:24:46,"Спасибо большое консультанту! Пришел, спросил, подсказали, решили проблему. А она была в отсутствии смс от нового приложения. Причина - когда-то ставил блок на номер 900, так как звонили мошендосы с него. Снял блок - смс пришло. Спасибо большое за подсказку консультанту!",5,
12,Мария Лихоман,2023-12-09 17:13:53,"Хорошее отделение. И на весь Юбилейный, мне кажется, - единственное)
Есть не только банкоматы, через операционистов можно хоть за услуги оплатить, хоть деньги перевести или обменять.
Очередь двигается довольно быстро, почти все окна всегда работают, в отделении чисто, тепло",5,
13,Давыдова Виолетта,2023-04-10 09:38:13,"Я очень довольна обслуживанием Виктории Пересыпкиной ....
Она меня обслужила очень профессионально, быстро без лишних вопросов и расспросов.
Всё сделано чётко и очень вежливо.
Выражаю свою благодарность этому замечательному менеджеру!
Побольше бы таких умных и современных работников!!!
Так держать Сбербанк!!!",5,
14,Елена Штэнь,2024-03-24 19:16:06,"Единственный на весь пос Юбилейный и близлежащие посёлки, офис сбербанка. Работает как и все остальные, не лучше и не хуже. Переодически пользуюсь его услугами и пользсь банкоматами.",5,
15,Star Kate,2024-04-19 09:45:09,"Работа отделения вызывает вопросы, закрывается по разному в выходные, в будние дни работает до 18.00, как и большинство людей которые идут в него после работы. Также непонятно почему сервис по доставке товаров нельзя организовать отдельно от режима работы офис-менеджеров…",2,
16,Татьяна Гуменюк,2023-06-23 18:34:24,"Чисто в помещении, сотрудники соблюдают дресс-код, вежливые, доброжелательные. Очередь движется быстро, при входе надо взять талон, тут помогает сотрудница. Окон обслуживания много. Также много банкоматов, если возникают трудности, то они легко разрешаются специалистом Сбербанка.",5,
17,ДОМНА С.,2023-09-19 10:45:44,"Отделение как отделение, чисто, сотрудники стараются, банкоматов много.
Единственное, в последние два посещения, сотрудники очень навящево предлагали оформить сбер прайм. Понимаю, kpi, все такое, но прям перебор)",4,
18,Люба Репях,2023-11-30 13:13:46,"Грамотный персонал, деловая обстановка и просто чудесная Татьяна Николаевна - заведующая филиалом.",5,
19,Wulf,2023-11-26 17:07:39,Сбербанк как сбербанк. Персонал приветлив и профессионален. Ответит на любой вопрос в их компетенции. Если затрудняются с ответом найдут того кто ответит.,5,
20,Инесса,2023-06-02 07:44:06,"Отличное отделение,работают настоящие профессионалы.
Оператору Ольге (окно 1)отдельное спасибо за сохранность забытых вещей. К сажелению благодарность в финансовом плане не взяла. Но оставила очень приятные впечатления.
Надеюсь на премию со стороны руководства.",5,
21,Альберт Рысаев,2023-12-14 10:31:50,"Супер отделение, отзывчивый персонал,заказываю получение товаров с мега маркета сюда, все без очередей, помогут, крутой подъем, место под машины нет",5,
22,Ксюша,2023-08-19 08:29:20,"Не правильный подход к постоянным клиентам, был открытый вклад под 5,85%, ЦБ РФ поднял ключевую ставку, поднялись проценты по вкладам, решили закрыть текущий вклад и открыть новый под более высокий процент, но оказалось что это сделать нельзя тем у кого имелся вклад в Сбербанке в течение последних 3 месяцев!!! Сбербанк, хочется спросить, вы нормальные??? Адекватно мыслите??? Т.е. по вашей логике те, кто вновь к вам пришли им хорошие условия, а кто у вас десятки лет обслуживается, до них вам все равно???Если уйдут, не страшно??? Ну хорошо, нам все понятно, сняли все свои накопления тут же, незамедлительно и отнесли в соседний банк конкурент - Россельхозбанк, открыли вклад под 11%, следующие накопления отнесем также в Россельхозбанк, а вы с таким подходом продолжайте терять своих клиентов…Удачи и процветания!!!",2,
23,Ольга Саратов,2023-06-04 23:24:49,"Хорошее большое отделение, много банкоматов где можно и снять и положить деньги. Много диванчиков где можно посидеть пока ждешь очередь . Очередь электронная. На взоде всегда стоит консультант которая подсказывает какой талон взять и куда пройти. Персонал весь очень вежливый. Так же тут можно сделать возврат товаров купленных в СберМегаМаркете",5,
